成立した２文字集合	成立した２文字単語	待ち候補文字数	待ち候補文字	成立する３文字集合	成立する３文字単語
のも	物（もの）:者（もの）	5	こ え き に ひ	このも えのも きのも にのも のひも	小物 獲物 着物 煮物 干物（ひもの）
はめ	羽目	5	つ じ ど や な	つはめ じはめ どはめ はめや なはめ	破滅 はじめ（初・始）:初め:始め 歯止め はやめ（早・速）:早め:速め 目鼻
はれ	はれ［〜が引く］:晴れ	5	ず な つ ま か	ずはれ なはれ つはれ はまれ かはれ	外れ 離れ 破裂 晴れ間 枯れ葉
ばん	晩:番	5	き め ほ ち か	きばん ばめん ばほん ちばん かばん	基盤 場面 本場 番地 かばん
ひま	暇（ひま）:麻痺	5	る ご ろ つ ん	ひまる ごひま ひまろ つひま ひまん	昼間（ひるま）:真昼 ひ孫 広間 飛沫 肥満
ぶら	ラブ	5	く て い あ し	くぶら てぶら いぶら あぶら しぶら	クラブ 手ぶら ライブ あぶら（油・脂）:油（あぶら）:脂（あぶら） ブラシ
ぶり	ぶり	5	み ん つ そ こ	ぶみり ぶりん つぶり そぶり こぶり	身振り 分離 物理 素振り（そぶり） 小降り
まめ	まめ:豆	5	と る い ん だ	とまめ まめる いまめ まめん だまめ	まとめ 丸め めまい メンマ 目玉
りわ	割（わり）	5	か お ぎ ま す	かりわ おりわ ぎりわ まりわ すりわ	かわり（代・替）:代わり:分かり:変わり:替わり 終わり 輪切り 周り:回り 座り
あか	赤	6	っ り じ ん み て	あかっ あかり あかじ あかん あかみ あかて	悪化 ありか:明かり 赤字 安価 赤身 手あか
あじ	あじ:味（あじ）	6	あ い み ん か く	ああじ あいじ あじみ あじん あかじ あくじ	アジア 自愛 味見 暗示 赤字 悪事
あて	当て	6	め い し な て か	あてめ あいて あして あてな あてて あかて	目当て 相手 手足（てあし） あて名 手当て:手当［通勤〜］ 手あか
あな	アナ［局〜］:穴（あな）:穴（あな）［〜を開（あ）ける］	6	た ば だ て お け	あたな あなば あだな あてな あおな あけな	あなた 穴場 あだ名 あて名 青菜 毛穴
いえ	家（いえ）	6	ご じ が す し り	いえご いえじ いえが いえす いえし いえり	英語:護衛 英字 映画 イエス 市営 営利
いみ	意味	6	た ら て や ま ず	いたみ いみら いてみ いみや いまみ いずみ	いたみ（痛・傷・悼）:いたみ（痛・傷）:いた（傷）み:傷み:傷（いた）み:痛み 未来 未定 嫌み 見舞い 泉（いずみ）
いろ	色（いろ）	6	そ け か ん ひ き	いそろ いけろ いかろ いろん いひろ いきろ	そろい 経路:経路・径路:色気 カイロ:回路 異論 拾い 黄色（きいろ）
うた	歌（うた）	6	ほ す よ ぼ ろ ん	うたほ うすた うたよ うたぼ うたろ うたん	他方 多数 多用 多忙 太郎 タウン
うま	馬	6	れ え ほ み さ す	うまれ うえま うほま うまみ うさま うすま	生まれ 真上 魔法 うまみ うまさ マウス
えり	襟	6	と か あ ぬ き い	えとり えかり あえり えぬり えきり いえり	取り柄 帰り:返り エリア 塗り絵 利益 営利
おち	落ち	6	め く ん ゃ ど ば	おちめ おくち おちん おちゃ おちど おちば	落ち目 奥地 音痴:音痴［機械〜・方向〜］ お茶 落ち度 落ち葉
かじ	家事:時価:直（じか）	6	ん い く の あ つ	かじん いかじ かくじ かじの あかじ かじつ	幹事:感じ:時間:漢字 次回:開示 各自:自覚 カジノ 赤字 果実:活字
かば	ばか	6	な り ち さ い ん	かなば かばり かちば かさば いかば かばん	半ば ばかり［した〜］ 近場 酒場 売価 かばん
がら	柄（がら）	6	こ え て す ん し	がこら えがら がてら がすら がらん がしら	小柄 絵柄 手柄 ガラス 裸眼 白髪（しらが）
きさ	先（さき）:左記	6	っ で て め い く	きさっ きさで きさて きさめ いきさ きくさ	さっき:喫茶 出先 手先 目先 記載 草木（くさき）
きち	吉:基地	6	あ い し も む ん	あきち いきち きしち きちも きちむ きちん	空き地:空き地・明き地 地域 敷地:知識 気持ち キムチ チキン
きみ	君（きみ）:黄身	6	か わ り き む が	かきみ きみわ きみり ききみ きみむ がきみ	上期（かみき） わき見:極み 切り身:見切り 見聞き 見向き 磨き
きめ	決め	6	き て れ さ い っ	ききめ きてめ きめれ きさめ いきめ きっめ	効き目:目利き 決め手 切れ目 目先 明記:記名 めっき
きれ	切れ	6	め つ し り が い	きめれ きつれ きしれ きりれ がきれ いきれ	切れ目 亀裂 歴史 履歴 瓦礫（がれき） 冷気
くち	口:地区	6	ょ ゃ こ か お び	くちょ くちゃ くこち かくち おくち くちび	直（ちょく） 着 告知:遅刻 各地:知覚:近く 奥地 備蓄
くつ	靴	6	べ り い が う え	くつべ くつり いくつ がくつ うくつ えくつ	区別 つくり（作・造）:作り:理屈:造り いくつ 九月 苦痛 机
ぐん	郡（ぐん）	6	ろ き そ り て し	ぐろん きぐん ぐそん ぐりん ぐてん ぐしん	ロング キング ソング リング 軍手 寝具
げん	減	6	か き ち む よ し	かげん きげん げちん げむん げよん げしん	下限:加減:原価 元気:期限:機嫌 現地 無限 予言 資源
こど	どこ	6	う ん か く も ね	うこど こどん かこど くこど こども こどね	鼓動 今度 どこか 孤独 子供 寝床
しば	芝	6	り し あ い ふ む	しばり ししば あしば いしば しばふ しばむ	縛り しばし 足場 芝居 芝生 虫歯
しろ	白（しろ）	6	ん う あ お み む	しろん うしろ あしろ おしろ しみろ しむろ	進路 後ろ ロシア 下ろし 白身 むしろ
じも	文字（もじ）	6	と え こ ん く み	じとも えじも こじも じもん くじも じみも	地もと 絵文字 小文字（こもじ） 自問 目次 もみじ:もみじ（紅葉）:紅葉（もみじ）
ぜん	前（ぜん）	6	き い み や し ち	きぜん いぜん ぜみん ぜやん しぜん ぜちん	前期 以前:善意 未然 前夜 自然 全治
たま	たま:玉（たま）	6	し あ り に ぶ ご	したま あたま たまり たにま たぶま ごたま	真下 頭（あたま） たまり 谷間（たにま） まぶた 卵（たまご）
だれ	だれ	6	み な ん か も よ	だみれ だなれ だれん かだれ だもれ だよれ	乱れ 雪崩（なだれ） 連打 だれか だれも よだれ
とみ	富	6	ん な す め ろ ひ	とみん となみ すとみ とみめ とみろ とひみ	都民 港（みなと） ミスト 認め とろみ ひとみ
ぴん	ピン	6	し ち と ね さ く	しぴん ちぴん とぴん ねぴん さぴん くぴん	神秘 ピンチ ピント 燃費 賛否 ピンク
まる	まる（丸・円）:丸:丸（まる）:丸［〜三年］:円（まる）	6	の め ひ み い く	のまる まめる ひまる まみる いまる くまる	ノルマ 丸め 昼間（ひるま）:真昼 まるみ（丸・円）:丸み マイル 車（くるま）
みり	ミリ	6	の ぶ な き ん ど	のみり ぶみり なみり きみり みりん どみり	実り 身振り 身なり 切り身:見切り みりん 緑
みる	みる	6	ゆ た ま が く あ	みゆる たみる まみる がみる くみる あみる	緩み たるみ まるみ（丸・円）:丸み 身軽 ミルク アルミ
もり	森:盛（も）り	6	ど よ こ つ ま く	どもり もより こもり つもり まもり くもり	戻り 最寄り 子守（こもり） 積もり 守り 曇り
わん	わん（椀・碗）:碗（わん）	6	か で い お ご さ	かわん でわん いわん おわん ごわん さわん	緩和 電話 ワイン おわん ワゴン 左腕
あき	あき（空・明）:秋:空き:飽き	7	つ る ち い ん や ず	あきつ あきる あきち あいき あきん あきや あきず	気圧 歩き 空き地:空き地・明き地 気合い 暗記 空き家 小豆（あずき）
いぎ	意義:異議	7	そ ん か せ て め れ	いぎそ いぎん いかぎ いぎせ いぎて いぎめ いぎれ	急ぎ 議員 会議:議会 正義:犠牲 定義 名義 礼儀
いざ	材:罪（ざい）:財	7	そ こ ふ む し き す	いざそ いこざ いざふ いざむ いざし いきざ いざす	素材 在庫 不在 財務 資材 機材 座椅子
うん	運	7	だ た ふ ゆ ど て ち	うだん うたん うふん うゆん うどん うてん うちん	ダウン タウン 不運 運輸 うどん 雨天 うんち
えか	かえ（代・替・換）:代え:換え:替え	7	ひ り し ま む さ る	えかひ えかり えかし えかま えかむ えかさ えかる	控え 帰り:返り 返し 構え 迎え 栄（さか）え かえる
かけ	か（賭）け:欠け:賭（か）け	7	っ み し い で ら ん	かけっ かけみ かけし いかけ かけで かけら かけん	結果 見掛け 仕掛け 家計:経過 出掛（か）け［〜際］ かけら けんか
かち	価値:勝ち:地下	7	ら く ば た い め ん	かちら かくち かちば かたち いかち かちめ かちん	力（ちから） 各地:知覚:近く 近場 形（かたち） 誓い 勝ち目 完治
かね	かね:金（かね）	7	ん つ て さ お い た	かねん かつね かてね かさね おかね いかね かたね	可燃 加熱 かねて 重ね お金 買値 高値
かひ	可否	7	え く い げ ん ふ り	えかひ かくひ いかひ かげひ かひん かひふ かひり	控え 比較 会費:回避 日陰 悲観 皮膚科 光（ひかり）
がき	飢餓	7	ん は て え ね み れ	がきん がきは がきて えがき がきね がきみ がきれ	祈願:謹賀 はがき 手書き 着替え 気兼ね 磨き 瓦礫（がれき）
がく	学:額（がく）	7	さ た つ か い ひ ろ	がくさ がくた がくつ かがく いがく がくひ がくろ	差額 多額 九月 化学（かがく）:科学 医学 学費 録画
きせ	せき:席	7	き い り つ ざ こ ゆ	ききせ いきせ きせり きせつ きざせ きこせ きせゆ	奇跡:奇跡・奇蹟 世紀:帰省:既製:正規:移籍:規制:遺跡 離席 季節 座席 戸籍 石油
きは	破棄	7	っ い ん く け が ぐ	きっは いきは きはん きくは きけは がきは きぐは	発揮 廃棄 半期 気迫 吐き気 はがき 歯茎
きむ	むき［〜になる］:向き:無期	7	ふ て み ん ず え ち	きふむ きてむ きみむ きむん きずむ えきむ きちむ	不向き 無敵 見向き 勤務 無傷 無益 キムチ
ぎん	銀（ぎん）	7	え い お も あ し ろ	えぎん いぎん おぎん ぎもん あぎん ぎしん ぎろん	演技:縁起 議員 恩義 疑問 議案 審議 議論
くま	幕:膜	7	あ ー じ る す ら い	あくま くまー くじま くまる くすま くまら いくま	悪魔 マーク 字幕 車（くるま） マスク まくら マイク
くも	くも:木（もく）:雲（くも）	7	さ か ひ ん じ り ず	くさも かくも くひも くもん くじも くもり くずも	模索 科目:課目 黙秘 文句 目次 曇り もずく
くよ	欲:翌	7	し は む い そ こ や	くしよ くはよ くむよ いくよ くそよ くこよ くやよ	抑止 余白 無欲 意欲 予測 予告 予約
こじ	事故:自己	7	う む く ん も さ わ	うこじ こじむ くこじ こじん こじも こさじ こじわ	事項:工事:時効 無事故 時刻 個人:故人 小文字（こもじ） 小さじ 小じわ
こた	たこ	7	い が く え ら ば つ	いこた がこた くこた えこた こたら こたば こたつ	個体:固体 小型:小形・小型 他国 答え たらこ たばこ こたつ
しめ	締め:飯（めし）	7	た ふ ん し い り じ	しため しふめ しめん ししめ いしめ しめり しじめ	ためし:試し 節目 紙面 示し 使命:名刺:名詞:指名:氏名 湿（しめ）り しめじ
じつ	実（じつ）:日（じつ）	7	む り き わ ひ か し	じつむ じつり きじつ じつわ じつひ かじつ しじつ	無実 自律:自立 期日 実話 自筆 果実:活字 自室
すみ	ミス:済み:炭:隅	7	や す せ て ぬ と か	すみや すすみ すせみ すてみ すぬみ すとみ かすみ	休み 進み ミセス 捨て身 盗み ミスト 住みか
せつ	説	7	か ざ う さ き し び	かせつ ざせつ うせつ させつ きせつ しせつ せつび	仮設:仮説 挫折 右折 左折 季節 施設 設備
そん	損:村（そん）	7	い き か は し ぐ さ	いそん きそん かそん そはん しそん ぐそん さそん	依存（いそん） 既存（きそん） 簡素 破損 子孫 ソング 酸素
ちみ	地味:未知:道（みち）	7	な よ う た ぢ ん し	ちなみ ちみよ うちみ たちみ ちぢみ ちみん しちみ	ちなみ 夜道 身内（みうち） 立ち見 縮み ミンチ:珍味 七味
とめ	止め	7	ど ま も ふ ひ つ み	とどめ とまめ とめも とふめ とひめ つとめ とみめ	とどめ まとめ 求め:目もと 太め 一目（ひとめ）:人目 勤め 認め
なは	花（はな）:鼻	7	れ し お み び め ぢ	なはれ しなは おなは なはみ なはび なはめ ぢなは	離れ 話（はなし） お花 花見 花火 目鼻 鼻血
なま	生（なま）:生（なま）［〜の声］	7	つ か け び ー え り	つなま かなま けなま なびま なまー えなま なまり	真夏 仲間 怠け 学び マナー 名前 なまり
のみ	のみ:飲み	7	り や こ ぞ う た ゆ	のみり のみや このみ ぞのみ うのみ たのみ のみゆ	実り 飲み屋 好み 望み うのみ:未納 頼み 湯飲み
のり	のり:乗り	7	み こ ぼ ば き い う	のみり このり のぼり のばり きのり いのり うのり	実り 残り 上（のぼ）り 乗り場 乗り気 祈り 脳裏
みよ	読み:読み［〜が外れる］	7	つ わ ち て う そ こ	つみよ みよわ ちみよ てみよ うみよ そみよ こみよ	強み 弱み 夜道 読み手 見よう よそ見 暦（こよみ）
あく	あく:悪（あく）	8	り げ ま む い は じ び	あくり あくげ あくま あくむ あいく あくは あくじ あくび	クリア 挙げ句:挙げ句・揚げ句:揚げ句 悪魔 悪夢 悪意 把握 悪事 あくび
あつ	圧	8	き み さ め で い ぎ ー	あきつ あつみ あさつ あつめ あつで あいつ あぎつ あつー	気圧 厚み 厚さ:暑さ:熱さ 厚め 厚手 あいつ:威圧 厚着 ツアー
いお	老い	8	お れ も め で る に ん	いおお いおれ いおも いおめ いおで いおる いおに いおん	覆い お礼 思い 汚名 おいで オイル におい イオン
いな	内（ない）	8	ん と ぶ き し い か ふ	いなん いとな いなぶ いきな いしな いいな いかな いなふ	難易 ナイト:都内 内部 機内 市内 以内 内科:田舎（いなか） ナイフ
いば	倍:杯（ばい）	8	あ と ち に し か く う	あいば いとば いちば いにば いしば いかば いくば いうば	場合 バイト 市場（いちば） 二倍 芝居 売価 バイク 梅雨（ばいう）
うみ	うみ:うみ（生・産）:海（うみ）:生み:産み	8	べ ち ら の よ け ま ふ	うべみ うちみ うみら うのみ うみよ うけみ うまみ うふみ	海辺（うみべ） 身内（みうち） 恨み うのみ:未納 見よう 受け身 うまみ 風味
おし	塩（しお）:押し	8	な と ん え ど ろ か け	おしな おしと おしん えおし おしど おしろ おかし おけし	直し 通し 恩師 教え 脅し 下ろし お菓子 塩気
かて	糧	8	っ い ん ね わ き ず あ	かって いかて かてん かてね かてわ かきて かずて あかて	勝手 仮定:低下:定価:家庭:課程:買い手:過程 天下:添加:点火:転嫁 かねて 若手 書き手 手数（てかず） 手あか
がん	ガン:癌:眼（がん）	8	い め ま き ひ ね か ら	いがん がめん がまん がきん がひん がねん かがん がらん	因果 画面 我慢:漫画 祈願:謹賀 悲願 年賀 眼科 裸眼
きま	巻き:巻（まき）:薪（まき）	8	っ つ ん す ま り え ね	きっま きつま きまん きすま きまま きまり えきま きねま	末期 期末 満期 すき間 気まま 決まり 気前 招き
こし	古紙:古紙・故紙:腰	8	と う く つ み や ゃ ぶ	こしと うこし くこし こしつ こしみ こしや こしゃ こしぶ	今年（ことし） 公私:志向:思考:格子:試行:講師 四国:酷使 個室:固執（こしつ） 仕込み 肥やし 車庫 こぶし
こみ	込み［消費税〜］	8	か へ の み よ ん し に	かこみ こへみ このみ こみみ こみよ こみん こしみ こにみ	囲み へこみ 好み 見込み 暦（こよみ） 未婚 仕込み 煮込み
こり	凝り	8	つ の も ほ う お ぶ と	こつり このり こもり こほり うこり おこり こぶり ことり	孤立 残り 子守（こもり） ほこり:誇り 小売り 氷 小降り 小鳥
しや	視野	8	ん す い こ か き は も	しやん しすや いしや こしや かしや きしや しはや しもや	深夜 すし屋 いやし 肥やし 貸家 屋敷 林（はやし） もやし
しり	しり:利子	8	つ ま は ば き ん ょ め	しつり しまり しはり しばり きしり しりん しょり しめり	市立（しりつ）:私立（しりつ） 締まり 走り 縛り 仕切り 心理 処理:思慮 湿（しめ）り
しわ	しわ:わし:和紙	8	す た け き ざ が つ い	しすわ したわ けしわ きしわ ざしわ がしわ しつわ いしわ	師走（しわす） 私（わたし） 仕分け 和式 仕業（しわざ） 和菓子 和室 いわし
つは	初（はつ）:発:発（はつ）	8	ふ め し れ か お た が	つはふ つはめ しつは つはれ かつは おつは たつは がつは	不発 破滅 始発 破裂 二十日（はつか） お初 多発 発芽
つま	妻（つま）:末（まつ）	8	し り さ き な み ひ げ	しつま つまり さつま きつま つなま つまみ つひま げつま	始末 祭り:詰まり 摩擦 期末 真夏 つまみ 飛沫 まつげ
ぱん	パン	8	は く や ち れ つ か り	はぱん くぱん ぱやん ちぱん ぱれん つぱん かぱん ぱりん	半端 パンク パン屋 パンチ 連覇 パンツ 寒波 リンパ
もん	門（もん）	8	ぶ は こ ぎ く じ め れ	ぶもん はもん こもん ぎもん くもん じもん めもん もれん	部門 模範 顧問 疑問 文句 自問 木綿 レモン
らん	欄	8	な く い は ぷ ち ど が	ならん くらん いらん はらん ぷらん ちらん どらん がらん	何ら ランク ライン:ライン［合格〜］ 波乱:波瀾・波乱 プラン:ランプ ランチ ランド 裸眼
あり	あり	9	お く が た か え ま せ さ	あおり あくり あがり あたり あかり あえり あまり あせり あさり	あおり クリア 上がり 当たり:辺り ありか:明かり エリア 余り 焦（あせ）り あさり
いよ	酔い	9	か ま ん め く う て た せ	いかよ いまよ いよん いめよ いくよ いうよ いてよ いたよ いせよ	通い 毎夜:迷い 余韻 余命:名誉 意欲 用意 予定 貸与 余生
いる	類（るい）	9	ぶ じ ま す た お い ふ か	いぶる いじる いまる いする いたる いおる いいる いふる いかる	部類 類似 マイル 居留守 タイル オイル 衣類 ふるい いるか
いわ	岩（いわ）	9	は ら だ か た い へ ん し	いはわ いらわ いだわ いかわ いたわ いいわ いへわ いわん いしわ	ハワイ 笑い 話題 会話:和解 対話 祝い 平和 ワイン いわし
うろ	労	9	お か ご し た ひ く ど つ	うおろ うかろ うごろ うしろ うたろ うひろ うくろ うどろ うつろ	往路 廊下:老化:過労 老後 後ろ 太郎 披露:浪費:疲労 苦労 道路 通路
かき	かき:かき（柿）:下記:夏季:夏期:書き:柿（かき）:火気	9	げ ん い み て っ わ く ょ	かきげ かきん いかき かきみ かきて かきっ かきわ かきく かきょ	激化 寒気（かんき）:帰還:換気:期間:機関:歓喜:気管:課金:金貨 機会:機械 上期（かみき） 書き手 活気 乾き:渇き 企画:規格 許可
かふ	不可:付加:負荷	9	う み さ め つ い な ひ ん	うかふ かふみ かさふ かふめ かつふ いかふ かなふ かひふ かふん	風化 深み 深さ 深め 二日（ふつか） 不快 不仲 皮膚科 噴火:花粉
かめ	かめ	9	た ふ い ち ん ら わ も だ	かため かふめ いかめ かちめ かめん かめら かめわ かめも かだめ	固め:高め 深め 仮名:名菓:銘菓 勝ち目 仮面 カメラ わかめ かもめ めだか
きひ	匹（ひき）:引き	9	ら つ っ げ ん ょ い び じ	きひら きつひ きっひ きげひ きひん きひょ いきひ きひび きじひ	開（ひら）き 月日（つきひ） 筆記 悲劇 気品 拒否 ひいき 響き ひじき
くこ	国（こく）	9	き じ ち ど た い し ご よ	きくこ くこじ くこち くこど くこた いくこ くこし くこご くこよ	帰国 時刻 告知:遅刻 孤独 他国 異国 四国:酷使 国語 予告
くみ	組:組み	9	し ぼ た か ゃ ふ や る む	くしみ くぼみ くたみ かくみ くみゃ くふみ くみや くみる くみむ	仕組み くぼみ たくみ:巧み 味覚 脈 含み 薬味 ミルク むくみ
くろ	くろ:六（ろく）:黒（くろ）	9	ふ き う じ ば が っ さ ほ	くふろ きくろ うくろ くじろ くばろ がくろ くっろ くさろ くほろ	付録:付録・附録:復路:袋（ふくろ） 記録 苦労 黒字 暴露 録画 ロック 黒さ ほくろ
さつ	冊:札（さつ）	9	べ せ ま あ よ い し お ば	さつべ させつ さつま あさつ さつよ いさつ さしつ おさつ さつば	差別 左折 摩擦 厚さ:暑さ:熱さ 強さ 殺意 視察 お札 翼（つばさ）
しょ	暑:書（しょ）:署	9	き か ほ う く し り と ち	きしょ かしょ しほょ うしょ くしょ ししょ しょり しとょ しちょ	初期:死去 初夏（しょか）:箇所 初歩 商:小（しょう）:症:証:賞 職:食 支所 処理:思慮 図書 処置
あし	あし:脚（あし）:足（あし）	10	げ た ば に て ろ ん い ら す	あげし あした あしば あしに あして あしろ あしん あいし あしら あしす	仕上げ あした（明日）:あした（朝）:明日（あした） 足場 シニア 手足（てあし） ロシア 思案 試合 あらし 素足
あん	あん:案	10	ふ き し ぎ じ だ ち か こ え	あふん あきん あしん あぎん あじん あだん あちん あかん あこん あえん	不安 暗記 思案 議案 暗示 安打 治安 安価 あんこ 亜鉛
いだ	代（だい）:台（だい）:大（だい）:題	10	り あ し せ く わ か に ち ひ	いだり あいだ いしだ いせだ いくだ いだわ いかだ いだに いだち いだひ	代理 間（あいだ） 次第:私大 世代 大工 話題 課題 荷台 大地 肥大
うの	脳	10	か ふ き ど く り み ち ぎ ず	うかの うのふ うきの うどの うくの うのり うのみ うちの うぎの うずの	可能:農家 不能:納付 昨日（きのう）:機能:納期 濃度 苦悩 脳裏 うのみ:未納 知能:農地 技能 頭脳
えき	液:駅	10	す ん こ が ま む り う の だ	えきす えきん えきこ えがき えきま えきむ えきり うえき えきの えきだ	エキス 延期 聞こえ 着替え 気前 無益 利益 植木（うえき） えのき 唾液
えま	前（まえ）	10	か て う お で あ な き じ ば	えかま えてま うえま えおま えでま あえま えなま えきま えじま えばま	構え 手前（てまえ） 真上 お前 出前 甘え 名前 気前 自前 前歯
おと	音（おと）	10	り し く さ か こ な っ で う	おとり おしと おくと おさと おかと おこと おとな おっと おでと うおと	おとり:トリオ:通り:通り［〜がよい・〜が悪い］ 通し 遠く 遠さ 十日（とおか） 男（おとこ） 大人（おとな） 夫（おっと） 遠出 嘔吐（おうと）
おり	折り	10	あ わ と く め ご ど つ か こ	あおり おりわ おとり おくり おめり おごり おどり おつり おかり おこり	あおり 終わり おとり:トリオ:通り:通り［〜がよい・〜が悪い］ 送り 折り目 おごり 踊り お釣り かおり（香・薫）:香り 氷
くふ	副:服:福:複	10	ぞ ろ そ ぶ ふ う み し い わ	くぞふ くふろ くそふ くふぶ くふふ うくふ くふみ くしふ いくふ くふわ	付属:付属・附属 付録:付録・附録:復路:袋（ふくろ） 不足 腹部 不服 工夫 含み 福祉:私服:至福 衣服 和服
くや	役（やく）:約:訳	10	ひ さ に ば き わ め よ み い	くひや くさや くにや くばや きくや くやわ くめや くやよ くみや いくや	飛躍 昨夜 肉屋 役場 規約 和訳 役目 予約 薬味 医薬
けつ	付け:欠:決	10	ほ ふ ぼ い ひ ぎ し に ば ろ	けつほ けつふ けつぼ いけつ けつひ ぎけつ けしつ けつに けつば けつろ	補欠 不潔 墓穴 決意 秘訣 決議 しつけ 煮付け バケツ 結露
しは	はし:橋:端（はし）	10	い つ り ら な ん く ご や だ	いしは しつは しはり しはら しなは しはん くしは ごしは しはや しだは	廃止:支配 始発 走り 柱（はしら） 話（はなし） 市販 白紙（はくし） はしご 林（はやし） はだし
しみ	しみ	10	く ん た だ ゅ こ さ ろ ち ぶ	くしみ しみん したみ しだみ しみゅ こしみ さしみ しみろ しちみ しぶみ	仕組み 市民 下見 見出し 趣味 仕込み 刺身 白身 七味 渋み
つみ	みつ:みつ（蜜）:罪（つみ）:蜜（みつ）	10	ひ よ つ あ ど っ か に ま な	つひみ つみよ つつみ あつみ つどみ っつみ かつみ つにみ つまみ つなみ	秘密 強み 包み 厚み 密度 三つ つかみ 積み荷 つまみ 津波
とひ	ひと:人（ひと）	10	つ け で っ う ご り め ん み	つとひ けとひ でとひ っとひ うとひ ごとひ とひり とひめ とひん とひみ	一つ 人気（ひとけ） 人出:人手:人手［〜に渡る］ ヒット 逃避 日ごと ひとり 一目（ひとめ）:人目 ヒント ひとみ
いご	以後	11	さ せ は ま か く え へ け う ち	いごさ いごせ いごは いごま いかご いくご いえご いごへ いけご いうご いごち	最後 正誤:生後 背後 迷子（まいご） ごかい:介護:誤解 極意 英語:護衛 語弊 敬語 合意 いちご
いぶ	イブ:部位	11	る た せ な あ さ ち ん れ ら つ	いぶる いたぶ いせぶ いなぶ あいぶ いさぶ いちぶ いぶん いぶれ いぶら いつぶ	部類 舞台 西部 内部 歩合 細部 一部 部員 無礼 ライブ 異物
いへ	塀（へい）	11	ん さ そ き ふ ご わ か し ち や	いへん いさへ いそへ いきへ いふへ いごへ いへわ いかへ いしへ いちへ いへや	変異:異変 閉鎖 平素 兵器:平気 不平 語弊 平和 貨幣 紙幣 平地 平野
うご	号	11	そ こ つ き ろ り よ ほ ひ い う	うごそ うこご うごつ うきご うごろ うごり うごよ うごほ うごひ いうご ううご	相互 交互 都合 動き:記号 老後 合理 用語:養護 誤報 合否 合意 豪雨
うぼ	棒	11	し よ か た ね こ き お む る う	うしぼ うぼよ うかぼ うたぼ うねぼ うこぼ うきぼ うおぼ うぼむ うぼる ううぼ	帽子:志望:死亡:脂肪:防止 予防 防火 多忙 寝坊 公募:母校 希望 応募 無謀 ボウル 暴雨
おく	億:奥	11	り ら れ ち と お た に き か ば	おくり おくら おくれ おくち おくと おおく おくた おくに おきく おかく おくば	送り お蔵 後れ:遅れ 奥地 遠く 多く お宅 お国 記憶 家屋 奥歯
から	殻（から）:殻［〜を破る・〜に閉じこもる］:空（から）	11	ち っ け れ ー し た め み わ だ	かちら かっら かけら かられ からー かしら かたら かめら かみら からわ かだら	力（ちから） 落下 かけら 彼ら カラー からし:頭（かしら） 宝 カメラ 辛み 河原 体（からだ）
かれ	彼（かれ）	11	ど わ っ い ら だ し つ ー は ぶ	かどれ かれわ かっれ いかれ かられ かだれ かしれ かつれ かれー かはれ かぶれ	どれか 分かれ:別れ 劣化 加齢 彼ら だれか 彼氏 疲れ カレー 枯れ葉 かぶれ
かわ	かわ（川・河）:川（かわ）:河（かわ）:皮（かわ）:革	11	り れ ん べ て き い に せ ら め	かりわ かれわ かわん かべわ かてわ かきわ いかわ かにわ かせわ からわ かめわ	かわり（代・替）:代わり:分かり:変わり:替わり 分かれ:別れ 緩和 川辺 若手 乾き:渇き 会話:和解 にわか 為替 河原 わかめ
くじ	くじ:軸	11	こ そ か と ろ ま も さ あ た ら	くこじ くじそ かくじ くじと くじろ くじま くじも くさじ あくじ くじた くじら	時刻 即時 各自:自覚 自得 黒字 字幕 目次 自作 悪事 自宅 鯨
こと	事（こと）:床（とこ）	11	し ろ お い や ば ん ご す ー り	こしと ことろ おこと いこと ことや ことば ことん こごと こすと ことー ことり	今年（ことし） ところ:所（ところ） 男（おとこ） いとこ 床屋 言葉 コント 小言 コスト コート 小鳥
とり	取り:鳥（とり）	11	え お う な ゆ ひ す ま い ふ こ	えとり おとり うとり となり とゆり とひり すとり とまり いとり とふり ことり	取り柄 おとり:トリオ:通り:通り［〜がよい・〜が悪い］ 離島 隣 ゆとり ひとり リスト 泊まり 鳥居 リフト 小鳥
なみ	並（なみ）:波:皆	11	ち り か み ん じ と や は つ だ	ちなみ なみり かなみ なみみ なみん じなみ となみ なみや なはみ つなみ だなみ	ちなみ 身なり 中身:中身・中味 南（みなみ） みんな なじみ 港（みなと） 悩み 花見 津波 涙
なん	何（なん）:難	11	ら か ぶ い ひ ど み こ お じ だ	ならん かなん なぶん いなん なひん どなん なみん こなん おなん じなん だなん	何ら 何（なん）か 南部:無難 難易 避難:非難 何度:難度 みんな 何個 女（おんな） 次男:次男・二男 旦那
ひん	品（ひん）	11	な ど か が と は き に ぶ び ま	なひん どひん かひん がひん とひん はひん きひん にひん ひぶん ひびん ひまん	避難:非難 頻度 悲観 悲願 ヒント 批判 気品 否認 部品 備品 肥満
いす	椅子（いす）:水（すい）	12	い ぱ ま り じ る く え ら あ ざ か	いいす いすぱ いすま いすり いじす いする いくす いえす いすら あいす いざす いかす	推移:水位 スパイ 住まい:睡魔:麻酔 推理 炊事:自炊 居留守 すくい:救い イエス ライス アイス 座椅子 すいか
いは	はい:杯（はい）:灰:肺	12	ち し き け か ん ご わ て せ ら ふ	いちは いしは いきは いけは いかは いはん いごは いはわ いては いせは いはら いはふ	配置 廃止:支配 廃棄 気配 破壊 範囲:違反 背後 ハワイ 手配 制覇:派生 払い 配布
