５文字集合	可能な５文字単語
うかすどる	どうかする:同化する:稼働する:稼働・稼動する:稼動する
うかすはん	過半数
うかすぼる	防火する
うかするろ	老化する
うかせまん	運任せ
うかたちむ	立ち向かう
うかたんー	カウンター
うかちなま	仲間内
うかちゅら	中辛
うかちゅん	中間
うかちょん	朝刊
うかちより	利用価値
うかつてん	通過点
うかなにり	理にかなう
うかはみら	見計らう
うかょりん	完了
うがきちゆ	行（ゆ）き違う
うがけすな	受け流す
うがこむわ	向こう側
うがしとら	とうがらし
うがしるれ	うれしがる
うがすちれ	擦れ違う
うききしゅ	旧式
うききての	機能的
うききてょ	強敵
うききゅん	緊急
うききょん	近況
うきくそゃ	客層
うきくそゅ	休息:急速
うきくつゅ	窮屈
うきくはょ	強迫:脅迫
うきくゃよ	客用
うきくゅら	急落
うきけひる	引き受ける
うきけゅん	研究
うきこしひ	非公式
うきこしん	好奇心
うきこねん	更年期
うきこゅん	困窮
うきごしん	信号機
うきごてり	合理的
うきさょん	協賛
うきしずみ	浮き沈み
うきしつょ	教室
うきしなれ	うれし泣き
うきしひょ	標識
うきしむろ	後ろ向き
うきしゅん	休診:急進:新旧:集金
うきしょり	良識
うきしょん	心境:賞金
うきじそは	掃き掃除
うきすどる	起動する
うきすのる	機能する
うきすほる	放棄する
うきすぼる	希望する
うきすよる	起用する
うきせぷん	扇風機
うきそてり	理想的
うきちてゅ	的中
うきちょん	緊張
うきつとま	付きまとう
うきつまれ	生まれつき
うきつょれ	強烈
うきてひょ	標的
うきてょり	適量
うきにゅん	入金
うきねゅん	年休
うきはひら	引き払う
うきはゅん	半休
うきはょん	反響
うきびよん	金曜日
うきへゅん	急変
うきゅれん	連休
うきょりり	力量
うきょりわ	両わき
うきょりん	料金
うきりるれ	売り切れる
うぎこする	抗議する:講義する
うぎすそる	偽装する
うくこちら	行楽地
うくこにゅ	入国
うくこひょ	酷評
うくこゃり	攻略
うくこょり	効力
うくごつよ	都合よく
うくごゆれ	揺れ動く
うくさふよ	副作用
うくざとろ	黒砂糖
うくしそゅ	収束:終息
うくしそょ	装飾
うくしつょ	食通
うくしとゅ	修得:特集:習得
うくしのゅ	濃縮
うくしふゅ	修復:復習
うくしやゅ	集約
うくしゆょ	夕食
うくしょよ	洋食:食用
うくしょら	楽勝
うくすつり	売り尽くす
うくすのる	苦悩する
うくすひゃ	数百
うくすふる	工夫する
うくすよる	供養する
うくするろ	苦労する
うくずつや	頭痛薬
うくずまる	うずくまる
うくそちゃ	装着
うくそちょ	直送
うくちつょ	直通
うくちとゃ	到着
うくちとゅ	特注
うくちとょ	特徴:特長
うくちふょ	重複（ちょうふく）
うくちもゅ	注目
うくちゃよ	着用
うくてとん	句読点
うくでまり	腕まくり
うくとひふ	一工夫
うくとひろ	一苦労
うくにゅよ	入浴
うくのょり	能力
うくはひょ	漂白
うくひもょ	目標
うくびもよ	木曜日
うくふやよ	洋服屋
うくふょり	風力
うくめらん	面食らう
うくゆょり	有力
うくょりろ	労力
うくるわん	運悪く
うけけつる	受け付ける
うけこふん	不健康
うけしたわ	受け渡し
うけしちょ	帳消し
うけしつゅ	終結:集結
うけしもわ	申し訳
うけしゅん	研修
うけしょん	懸賞:検証
うけすたつ	多数決
うけすたわ	受け渡す
うけずなる	うなずける
うけたつて	受けて立つ
うけちとる	打ち解ける
うけちぼま	待ちぼうけ
うけちまる	待ち受ける
うけっつて	うってつけ
うけづらる	裏付ける
うけとめる	受け止める
うけにまる	真に受ける
うこさする	交差する
うこさてん	交差点
うこしすも	もう少し
うこしする	試行する
うこしそな	し損なう
うこしとの	年の功
うこしぬよ	雇用主
うこしひん	嗜好品
うこしほゃ	歩行者
うこしみも	申し込み
うこしむも	申し込む
うこしゃよ	雇用者
うこしゅん	今週
うこしょり	凝り性
うこじする	工事する
うこすほる	歩行する
うこすぼる	公募する
うこすよる	雇用する
うこちゅん	昆虫
うこつねひ	光熱費
うこどもよ	子供用
うこにゅん	混入
うこのりれ	売れ残り
うこのるれ	売れ残る
うこほむり	ほうり込む
うごすよる	擁護する
うごはゆん	夕御飯
うさしょん	勝算:参照:山椒（さんしょう）
うさすそる	操作する
うさすどる	作動する
うさすよる	作用する
うさするわ	うわさする
うさちのみ	海の幸
うさちょん	山頂
うさつひょ	表札
うさどふん	不動産
うさどらん	皿うどん
うさなよら	さようなら
うさゅりん	三流
うさょりん	量産
うししつょ	消失
うししふゅ	終止符
うししゃよ	使用者
うししゅん	就寝
うししょん	昇進
うしすだつ	写し出す
うしすとる	投資する
うしすどる	指導する
うしすほる	奉仕する
うしすぼる	志望する:死亡する:防止する
うしすゆる	融資する
うしすょる	称する
うしすよる	使用する
うしせつょ	小説
うしせゅん	先週
うしそょん	損傷
うしだめん	運試し
うしちゅん	中心
うしちょん	慎重:身長:長身
うしつとょ	衝突
うしつにゅ	入室
うしつふゃ	普通車
うしつほゅ	放出
うしつぼり	死亡率
うしつまゅ	終末:週末
うしつまる	丸写し
うしつめょ	消滅
うしつょり	勝率:良質
うしてども	どうしても
うしてゅん	終点
うしてょん	商店:焦点
うしてんん	運転士
うしでもる	申し出る
うしなばら	裏話
うしにむょ	無性（むしょう）に
うしにゅん	進入
うしにょん	商人:承認:認証
うしねゅん	年収
うしねょん	少年:年少:燃焼
うしはょり	両端（りょうはし）
うしひょよ	諸費用
うしひょん	商品:賞品
うしぶもん	申し分
うしへゅん	周辺:編集
うしほゅん	本州
うしほょん	本性（ほんしょう）
うしめょん	正面
うしゃより	利用者
うしゅれん	練習
うしょりん	両親:良心:診療
うじすそる	掃除する
うじちちほ	地方自治
うじつまよ	つまようじ
うすせつる	右折する
うすそとる	そうすると:塗装する
うすそふる	送付する
うすそゆる	輸送する
うすそよる	予想する
うすぞよる	贈与する
うすだほり	ほうり出す
うすだるん	ダウンする
うすちつる	通知する
うすちほる	放置する
うすつるわ	通話する
うすとひる	逃避する
うすとよる	投与する
うすによる	要するに
うすねぼる	寝坊する
うすのふる	納付する
うすひるろ	披露する:浪費する:疲労する
うすふよる	扶養する
うすほもる	模倣する
うすほゆる	保有する
うすほよる	予報する:保養する
うすぼよる	予防する
うすもらる	網羅する
うすよりる	利用する
うずたにん	多人数（たにんずう）
うずつへん	偏頭痛:片頭痛:片頭痛・偏頭痛
うせちつょ	調節
うせちゅん	抽選:抽選・抽籤
うせちょん	挑戦
うせにゅん	入選
うそそもれ	それもそう
うそちにの	そのうちに
うそちょん	尊重:町村
うそのらわ	上の空
うそもよら	空模様
うたちつょ	調達
うたちょん	単調:長短
うたつでの	腕の立つ
うたつとど	到達度
うたてまれ	生まれたて
うたてめる	埋め立てる
うたほめん	多方面
うたょりん	両端:両端（りょうたん）
うだなるれ	うなだれる
うちつはょ	長髪
うちつゅり	中立
うちてょん	頂点
うちなょん	長男:難聴
うちにびよ	日曜日
うちにみょ	明日（みょうにち）
うちねのむ	胸の内
うちねゅん	中年:年中（ねんちゅう）
うちねょん	年長
うちはょん	班長
うちぶやる	打ち破る
うちめもょ	メモ帳
うちもゅん	注文
うちゅれん	連中（れんちゅう）
うちょろろ	うろちょろ
うつではも	初もうで
うつとにゅ	突入
うつねょり	熱量
うつひふよ	不必要
うつょりり	両立
うてにゅん	入店:転入
うてょりり	手料理
うとにぶん	二等分
うとにほん	日本刀
うどみめん	面倒見
うなにびよ	何曜日
うにねゅん	入念
うにはゅん	搬入
うにふぼる	棒に振る
うにもゅん	入門
うぬぼるれ	うぬぼれる
うねょりん	燃料
うのほめよ	目の保養
うはふらり	振り払う
うはまやれ	早生まれ
うひへょん	豹変
うひほょん	標本
うひめょん	表面
うひょりん	良品
うほみょん	本名（ほんみょう）
うまるわわ	上回る
うめょりん	両面
うやょりり	料理屋
ええくすら	Ａクラス
えおかきる	置き換える
えおかしり	折り返し
えおかすり	折り返す
えおがしん	恩返し
えおききぼ	聞き覚え
えおぎさみ	抑え気味
えおこさむ	押さえ込む
えおさねん	お姉さん
えおしだま	前倒し
えおてぼろ	覚えていろ
えおとるろ	衰える
えおのぼも	物覚え
えおみよる	読み終える
えかかきる	書き換える:書き換える・書き替える:書き替える
えかかこむ	抱え込む
えかがまみ	前かがみ
えかがるん	考える
えかききす	聞き返す
えかきざり	返り咲き
えかきしひ	引き返し
えかきしま	巻き返し
えかきしり	切り返し
えかきすつ	突き返す
えかきすひ	引き返す
えかきすま	巻き返す
えかきはる	履き替える
えかきひる	引き替える
えかきりる	切り替える
えかぎりわ	帰り際
えかくざり	返り咲く
えかくしり	繰り返し
えかくすり	繰り返す
えかくつり	帰り着く
えかくみる	組み替える
えかけつる	付け替える
えかさしつ	差し支え
えかさしひ	差し控え
えかさしる	差し替える
えかしすむ	蒸し返す
えかしとり	取り返し
えかしぶり	ぶり返し
えかしみよ	読み返し
えかすとり	取り返す
えかすねは	跳ね返す
えかすぶり	ぶり返す
えかすみよ	読み返す
えかすもり	盛り返す
えかぞちら	力添え
えかたてる	立て替える
えかたねる	堪えかねる:耐えかねる:耐えかねる・堪えかねる
えかだれわ	枝分かれ
えかちみり	帰り道
えかちもる	持ち帰る:持ち替える
えかつまる	捕まえる
えかつめる	詰め替える
えかてんん	炎天下
えかでむる	出迎える
えかとひみ	紙一重
えかとりる	取り替える
えかぬりる	塗り替える
えかねはる	跳ね返る
えかのりる	乗り換える
えかはりる	張り替える
えかはるわ	生え変わる
えかふりる	振り替える:振り返る
えがききち	聞き違え
えがくすつ	覆す
えがくすな	末長く
えがくつる	覆る
えがこめる	目が肥える
えがこもろ	衣替え
えがさとり	里帰り
えがしたる	従える
えがせまみ	店構え
えがちねる	寝違える
えがちまる	間違える
えがちみる	見違える
えがとれん	エレガント
えがまみる	身構える
えがみよる	よみがえる
えきしつは	始発駅
えきするん	延期する
えきつもる	燃え尽きる
えきまるわ	わきまえる
えきょりん	遠距離
えぎするん	演技する
えぎのもん	縁起物
えくしょん	食塩
えくすっに	エスニック
えくすとり	リクエスト
えくたるわ	蓄える
えくちぶろ	知恵袋
えけちっと	エチケット
えことびる	飛び越える
えこのみー	エコノミー
えこのりる	乗り越える
えごしなは	話し声
えごするん	援護する
えごたみよ	読みごたえ
えさずたる	携える
えしするん	支援する
えしっとる	シルエット
えしつゅん	出演:演出
えすせっん	エッセンス
えすちるん	遅延する
えすどれん	エンドレス
えちねゃん	姉ちゃん
えってまも	前もって
えてにみめ	目に見えて
えととのる	ととのえる（整・調）:整える:調える
えとりんー	エントリー
えななまめ	斜め前
えにみめる	目に見える
おおおどり	大通り
おおかしむ	大昔
おおかそみ	大みそか
おおぎさわ	大騒ぎ
おおごしと	大仕事
おおしすと	押し通す
おおずにん	大人数（おおにんず）
おかがくん	音楽家
おかきごり	かき氷
おかきしな	書き直し
おかきすな	書き直す
おかけっる	追っ掛ける
おかけりる	駆け降りる
おかげしん	塩加減
おかざとる	遠ざかる
おかしつぶ	かつお節
おかしみり	顔見知り
おかしらん	知らん顔
おかじなみ	顔なじみ
おかすだに	顔に出す
おかすどろ	驚かす
おかすびや	脅（おびや）かす
おかずとら	遠からず
おかずのら	おのずから
おかだんん	温暖化
おかつみむ	紙おむつ
おかななり	仲直り
おがくなり	送り仮名
おがすとる	音がする
おがてもわ	表側
おがまるれ	折れ曲がる
おききすな	聞き直す
おきくさり	先送り:送り先
おきくする	記憶する
おきくつり	作り置き
おきこすま	巻き起こす
おきこまる	巻き起こる
おきすつと	突き落とす
おきすつみ	お墨付き
おきすとひ	引き落とす:引き落とす［口座から〜］
おきすとり	切り落とす
おきすとる	透き通る
おきそべる	恐るべき
おきってと	取って置き
おきてむも	表向き
おきとびる	飛び起きる
おぎすそと	そぎ落とす
おくこつり	凍り付く
おくこむり	送り込む
おくしちな	口直し
おくしまる	押しまくる
おくしやょ	お役所
おくすだり	送り出す
おくせらる	後らせる:遅らせる
おくそとも	遅くとも
おくってと	取って置く
おくってほ	ほっておく
おくてめや	やめておく
おくでるれ	出遅れる
おくのもり	贈り物
おくのりれ	乗り遅れ
おけこじん	自己嫌悪
おけざとる	遠ざける
おけしつる	押し付ける
おけしのる	押しのける
おけしまみ	負け惜しみ
おけすそわ	おすそ分け
おけすまる	おまけする
おけちつる	落ち着ける［腰を〜］
おけちぬる	抜け落ちる
おけとぬり	通り抜け
おげまりる	折り曲げる
おこことの	男の子
おこごやろ	親心
おこしとむ	落とし込む
おこすほり	掘り起こす
おこずみり	氷水
おこちっる	おっこちる
おこづやれ	親子連れ
おことどり	滞り
おことどる	滞る
おことのも	男物
おことのり	このとおり
おこどやん	親子どん
おこなのん	女の子
おさしそろ	恐ろしさ
おさせまわ	お世話様
おししだみ	出し惜しみ
おししだむ	出し惜しむ
おしすつぶ	押しつぶす
おしすども	押し戻す
おしずらん	恩知らず
おしせよる	押し寄せる
おしたてな	立て直し
おしたなろ	棚卸し
おしたぼん	押しボタン
おしだとま	お年玉
おしでんん	電子音
おしとのも	落とし物
おしとひよ	お人よし
おしとまわ	遠回し
おしなやり	やり直し
おじなりる	オリジナル
おじもるん	重んじる
おすせるん	汚染する
おすたてな	立て直す
おすたばる	バスタオル
おすちなも	持ち直す
おすでとる	遠出する
おすとなり	取り直す
おすなねり	練り直す
おすなみよ	読み直す
おすなやり	やり直す
おすにふる	オフにする
おすにるん	オンにする
おすふりろ	振り下ろす
おすほるん	保温する
おずちりる	ずり落ちる
おずとるれ	訪れる
おずやゆり	親譲り
おせにるわ	におわせる
おそとのり	そのとおり
おたたみり	折り畳み
おたたむり	折り畳む
おたちなり	立ち直り
おたちなる	立ち直る
おたつふり	二つ折り
おたとなび	大人びた
おたべるわ	食べ終わる
おちとみり	通り道
おちぶるれ	落ちぶれる
おととひり	一通り
おとどひり	人通り
おとどもり	元どおり
おとびりる	飛び降りる［高所から〜］
おとまりわ	遠回り
おもるれわ	思われる
かかがてる	手が掛かる
かかきにる	気に掛かる
かかくくぞ	核家族
かかけつり	掛かりつけ
かかさしる	差しかかる
かかっとり	取っ掛かり
かかっひり	引っ掛かり
かかっひる	引っ掛かる
かかてねら	かねてから
かかとびる	飛び掛かる
かかとりる	取り掛かる
かかよりる	寄り掛かる
かがきくて	化学的:科学的
かがきるわ	気が変わる
かがくたつ	片が付く
かがしなる	悲しがる
かがたりわ	肩代わり
かききって	画期的
かきくして	視覚的
かきくしょ	企画書
かきくする	企画する
かきくてひ	比較的
かきくてふ	不適格
かきくゃん	観客
かきけって	結果的
かきけにる	気に掛ける
かきけるわ	かき分ける
かきこすの	書き残す
かきこまめ	きめ細か
かきざなや	焼き魚（ざかな）
かきしすめ	書き示す
かきしむる	かきむしる
かきすずり	かすり傷
かきすだみ	かき乱す
かきすって	好き勝手
かきすまわ	かき回す
かきすょる	許可する
かきするん	換気する:歓喜する
かきせつん	季節感
かきぜまる	かき混ぜる
かきたてみ	敵味方
かきたのめ	目の敵
かきたんん	短期間
かきてひん	悲観的
かきはみん	上半期
かきょりん	距離感
かきりるわ	切り替わる
かぎせとも	共稼ぎ
かぎそりれ	それ限り
かくくだみ	かみ砕く
かくけやん	倹約家
かくげちん	口げんか
かくこたり	かたくり粉
かくごする	覚悟する
かくしつも	隠し持つ
かくしてれ	照れ隠し
かくしべる	しかるべく
かくしょん	感触:間食
かくじする	自覚する
かくじたら	宝くじ
かくすそる	加速する
かくすひる	比較する
かくすほる	捕獲する:確保する
かくすりる	隔離する
かくずたれ	型崩れ
かくずちら	力ずく
かくたつり	作り方
かくたなる	堅くなる
かくづりわ	若作り
かくてにる	テクニカル
かくにみん	未確認
かくぶみろ	紙袋
かくほやん	翻訳家
かくゃりん	簡略
かぐすはら	はぐらかす
かけけつる	駆け付ける
かけけぬる	駆け抜ける
かけげなる	投げ掛ける
かけこしる	腰掛ける
かけざつり	飾り付け
かけしなは	話し掛け
かけすひら	ひけらかす
かけするん	けんかする
かけせみる	見せ掛ける
かけたづる	片付ける
かけたてる	立て掛ける
かけたべる	食べかける
かけたむる	傾ける
かけちづる	近付ける
かけっひる	引っ掛ける
かけっろん	結果論
かけのぼる	駆け登る
かけのみる	飲みかける
かけびよる	呼び掛ける
かけふりる	振り掛ける
かけまるわ	駆け回る
かげするん	加減する
かこことま	事細か
かこせつん	股関節
かこそだら	だからこそ
かこそぢら	底力
かこちのり	勝ち残り
かこちのる	勝ち残る
かことむり	取り囲む
かごするん	看護する
かごとなに	何事か
かさしずは	恥ずかしさ
かさしつな	懐かしさ
かさしども	もどかしさ
かさしゃん	参加者
かさすやら	安らかさ
かさするん	加算する:参加する:監査する
かさっまり	真っ盛り
かさつねみ	積み重ね
かさのぼる	さかのぼる
かざすふり	振りかざす
かざせつん	挫折感
かざのもり	飾り物
かしじもら	頭文字
かしじんん	関心事
かしすつる	加湿する
かしするん	監視する:進化する:過信する
かしずのも	物静か
かしたなは	話し方
かしためる	確かめる
かしつなの	懐かしの［〜メロディー］
かしつなむ	懐かしむ
かしづみわ	わしづかみ
かしづめら	しかめ面
かしとょん	図書館
かしなにら	何かしら
かしなばり	金縛り
かしはんん	下半身
かしむんん	無関心
かしゃりん	管理者
かしゅんん	瞬間
かじたんん	短時間
かじちまん	待ち時間
かじちもん	持ち時間
かじとるん	感じ取る
かじりわん	時間割り
かすすちむ	勝ち進む
かすたはら	働かす
かすたみる	味方する:味方・身方する
かすたるん	加担・荷担する
かすちるん	完治する
かすっとま	マスカット
かすっとる	カットする
かすっはる	発火する
かすっらる	落下する
かすっるれ	劣化する
かすつねる	加熱する:過熱する
かすてるん	転嫁する［責任を〜］
かすとふる	不可とする
かすなにる	何かする
かすなるん	軟化する
かすにばる	ばかにする
かすにるん	認可する
かすのほめ	ほのめかす
かすびるん	完備する
かすぷるん	還付する
かすへるん	変化する
かすほるん	保管する
かすみるん	仮眠する
かすよるん	予感する:関与する:関与・干与する
かすりるん	管理する
かするわん	緩和する
かずなやら	必ずや
かずにむめ	メカニズム
かずはみる	軽はずみ
かせつもん	貨物船
かせとひま	人任せ
かせひびる	響かせる
かせひらる	光らせる
かせもんん	専門家
かぜふんん	不完全
かそのりわ	その代わり
かぞたのみ	高望み
かたたっよ	偏った
かたちっら	散らかった
かたっによ	似通った
かたのもら	宝物（たからもの）
かたひられ	開かれた
かだとひり	人だかり
かだなみる	中だるみ
かだぬるん	ぬかるんだ
かだももれ	だれもかも
かちちもら	力持ち
かちつめん	メンチカツ
かちでんん	乾電池
かちみれわ	分かれ道:別れ道・分かれ道
かっとなる	かっとなる
かつてぶん	添加物
かつとみる	つかみ取る
かつねぶん	可燃物
かどなまん	ど真ん中
かどふみり	深緑（ふかみどり）
かどみめゆ	かゆみ止め
かどむらん	ドラム缶
かなにねる	金になる
かなにもも	何もかも
かなにらる	空になる
かなぬほら	ほかならぬ
かにみらる	見るからに
かにりんん	管理人
かぬまるれ	免れる
かねまりん	マンネリ化
かのひぶん	文化の日
かのもりわ	変わり者:物分かり
かまめらん	カメラマン
かまらりわ	空回り
がききしな	聞き流し
がききすな	聞き流す
がききすの	聞き逃す
がきけすた	たすき掛け
がきけぬる	気が抜ける
がきけひる	気が引ける
がきさひる	引き下がる
がきしはり	走り書き
がきすすむ	気が進む
がきすはひ	引きはがす
がきするん	祈願する
がきなまわ	生乾き
がきはるれ	気が晴れる
がきはわん	半乾き
がきまるわ	気が回る
がきむゆる	気が緩む
がくくせつ	癖が付く
がくけつり	けりが付く
がくしつみ	しがみつく
がくしつり	利子が付く
がくしやる	悔しがる
がくしるる	苦しがる
がくするろ	録画する
がくちもり	曇りがち
がくねはわ	願わくは
がけこころ	心掛け
がこしなむ	流し込む
がこちらわ	こちら側
がこなむれ	流れ込む
がこねるろ	寝転がる
がささしわ	騒がしさ
がさしのも	捜し物
がさせるわ	騒がせる
がさたるれ	垂れ下がる
がさちにん	三が日
がすたたち	立ち姿
がすたはれ	晴れ姿
がすまるん	我慢する
がせまやん	やせ我慢
がたつはら	腹が立つ
がたのもり	物語
がつつみみ	包み紙
がなみみわ	南側
がなられわ	我ながら
がはへらる	腹が減る
がまめるわ	目が回る
きききせて	奇跡的
ききくせゃ	客席
ききくそて	規則的
ききくぞん	貴金属
ききくてろ	記録的
ききけるわ	聞き分ける
ききげして	刺激的
ききげつん	期限付き
ききげてひ	悲劇的
ききごすす	聞き過ごす
ききざむり	切り刻む
ききしそて	組織的
ききしてれ	歴史的
ききすみる	見聞きする
ききすゆる	行（ゆ）き来する
ききすれわ	聞き忘れ
ききたてん	短期的
ききたなれ	聞き慣れた
ききだひり	左利き
ききつづひ	引き続き
ききてほん	基本的
ききなるれ	聞き慣れる
ききょりん	近距離
きぎさつと	嫁ぎ先
きぎすたゆ	行（ゆ）き過ぎた
きぎすゆる	行（ゆ）き過ぎる
きぎちひる	引きちぎる
きくげよん	元気よく
きくこよん	根気よく
きくしつゃ	客室
きくしふゃ	複写機
きくしょれ	職歴
きくしょん	新曲
きくすたる	帰宅する
きくするろ	記録する:記録する［自己ベストを〜］
きくせたん	洗濯機
きくせちゃ	着席
きくせつに	席に着く
きくせょん	曲線
きくたても	多目的
きくたょん	極端
きくちても	目的地
きくちまゃ	客待ち
きくつづひ	引き続く
きくつとに	帰途に就く
きくてひや	飛躍的
きくひらり	切り開く
きくへゃん	返却
きくほゃん	脚本
きくむょり	無気力
きくめょん	局面
きくょりん	筋力
きくょろん	極論
きぐむらろ	キログラム
きぐらんん	ランキング
きけさとど	届け先
きけすだら	すきだらけ
きけするん	棄権する
きけずつる	傷付ける
きけたぬの	気の抜けた
きけつつる	突き付ける
きけつひる	引き付ける
きけつまる	巻き付ける
きけつめる	決め付ける
きけつやる	焼き付ける
きけぬふる	吹き抜ける
きけぬりる	切り抜ける
きけひるわ	引き分ける
きけほんん	保険金
きけりるわ	切り分ける
きげさひる	引き下げる
きげさりる	切り下げる
きげしする	刺激する
きげしふゆ	冬景色
きこしゃん	既婚者
きこじてん	個人的
きこぞのむ	のぞき込む
きこっりれ	これっきり
きこててん	古典的
きこどむも	子供向き
きこひもり	引きこもり
きこひもる	引きこもる
きこぶまん	昆布（こんぶ）巻き
きごたまや	卵焼き
きささつる	突き刺さる
きさしのば	先延ばし
きさちもよ	気持ちよさ
きさってん	喫茶店
きさつとめ	勤め先
きさなにる	先になる
きさにるわ	気に障る
きさまりわ	先回り
きししてん	紳士的
きしすそる	組織する
きしすてる	指摘する
きしすゃる	帰社する
きしすょる	死去する
きしするん	禁止する
きしたひわ	引き渡し
きしだめる	抱き締める
きしちびよ	予備知識
きしちまめ	豆知識
きしつめる	敷き詰める
きしてとと	時として
きしてぴん	神秘的
きしてほゅ	保守的
きしてりん	心理的
きしとぶん	敷き布団
きしのばひ	引き伸ばし:引き伸ばし・引き延ばし:引き延ばし
きしはもん	下半期
きしひまる	引き締まる
きしひめる	引き締める
きしびめり	締め切り日
きしふんん	不謹慎
きしょりれ	履歴書
きじつては	自発的
きじつはめ	月初め
きすすつむ	突き進む
きすたっみ	澄み切った
きすちっほ	ホッチキス
きすちまら	ま（撒）き散らす:撒（ま）き散らす
きすっとる	特記する
きすっはる	発揮する
きすっひる	筆記する
きすっふる	復帰する
きすつなは	突き放す
きすつびむ	結び付き
きすつりる	起立する
きすてぬる	手抜きする
きすてりる	切り捨てる
きすてるん	転記する
きすとばふ	吹き飛ばす
きすどひも	引き戻す
きすどまも	巻き戻す
きすなはひ	引き離す
きすねびる	値引きする
きすねるん	記念する
きすのばひ	引き伸ばす:引き伸ばす・引き延ばす:引き延ばす
きすひょる	拒否する
きすびみや	炭火焼き
きすぼるん	募金する
きすむるん	勤務する
きすよるん	預金する
きすりるれ	擦り切れる
きせつてふ	不適切
きせにむん	無責任
きせひよる	引き寄せる
きせめんん	洗面器
きせゃるん	キャンセル
きそっりれ	それっきり
きたてはら	働き手
きたてひる	引き立てる
きたゆるわ	行（ゆ）き渡る
きたょりん	短距離
きだまめや	目玉焼き
きだまゆる	雪だるま
きちょよん	預貯金
きっとなる	きっとなる
きっふるれ	吹っ切れる
きっまりる	まるっきり
きつつめる	突き詰める
きつてはる	尽き果てる
きつてぶり	物理的
きつとなは	解き放つ
きつとめる	突き止める
きつねぶん	記念物
きつぶやる	突き破る
きつめりる	切り詰める
きづまゆり	行（ゆ）き詰まり
きづまゆる	行（ゆ）き詰まる
きてにふん	不適任
きてにほん	日本的
きてはひん	批判的
きてはもん	模範的
きてぶんん	分岐点
きてりろん	理論的:論理的
きでのひも	引き出物
きでのふも	吹き出もの
きとにめる	気に留める
きとにりん	人気取り
きとひめる	引き止める
きとめりる	取り決める
きどまゆり	行（ゆ）き止まり
きどまゆる	行（ゆ）き止まる
きなにむる	むきになる
きなはるれ	履き慣れる
きなみみむ	南向き
きにのもん	人気者
きねひんん	記念品
きのみゆる	気の緩み
きひみりん	見切り品
きみめるわ	見極める
きめゃらる	キャラメル
きりるれわ	割り切れる
ぎくとひり	一区切り
ぎくはふら	ふくらはぎ
ぎこまむれ	紛れ込む
ぎさなむわ	胸騒ぎ
ぎしするん	審議する
ぎすてぬる	脱ぎ捨てる
ぎすやりる	やり過ぎる
ぎするろん	論議する:議論する
ぎとにひり	一握り
ぎまみりわ	右回り
くくこしょ	黒色
くくしたょ	食卓
くくしっは	四苦八苦
くくしっら	クラシック:クラシック［〜ミュージック］
くくしとょ	特色
くくしにょ	肉食
くくしはゅ	宿泊
くくしはょ	白色
くくしふゅ	祝福
くくしめり	締めくくり
くくしめる	締めくくる
くくしやょ	区役所:役職
くくしょよ	食欲
くくすなも	少なくも
くくそぶや	役不足
くくちもゃ	着目
くくちゃり	着陸
くくってに	テクニック
くくっにり	クリニック
くくはみゃ	脈拍
くくはょり	迫力
くぐもれれ	くれぐれも
くけっつる	くっつける
くけっまろ	真っ黒け
くけょりん	権力
くげさりる	繰り下げる
くげつるろ	くつろげる
くこごとと	ことごとく
くこしじた	酷似した
くこしする	酷使する
くこしぜん	全国紙
くこすちる	告知する:遅刻する
くこすよる	予告する
くこたとん	コンタクト
くこたれー	コレクター
くこっぬひ	引っこ抜く
くこつびり	こびりつく
くことどな	どことなく
くことぱん	コンパクト:コンパクト［化粧〜］
くこどふも	子供服
くこにほん	日本国
くこにゃん	こんにゃく
くこへよん	予告編
くこるんー	コンクール
くさしする	試作する
くさしむり	草むしり
くさしょん	三色（さんしょく）:三食
くさじする	自作する
くさすもる	模索する
くさずちみ	口ずさみ
くさずちむ	口ずさむ
くさせらる	腐らせる
くさだてる	…てくださる
くさどねん	昨年度
くさぼらん	さくらんぼ
くししふん	紳士服
くししやょ	市役所
くししゅん	伸縮
くししょん	新色
くしすたる	仕度（したく）する:支度・仕度（したく）する:支度（したく）する
くしすだつ	出し尽くす
くしすょる	食する
くしせたん	選択肢
くしたゅん	短縮
くしたょん	単色
くしちゃわ	しわくちゃ
くしちゃん	新着:着信:賃借
くしちょん	直進:進捗（しんちょく）
くしつもょ	食物
くしてょん	転職
くしでなろ	ろくでなし
くしなもん	文句なし［〜に］
くしなょん	難色
くしにょん	職人
くしはょん	繁殖
くしひょん	食品
くしふふょ	不織布
くしへょん	変色
くしほょん	本職
くしみゅん	民宿
くしめるる	苦しめる
くじそまめ	くそまじめ
くすすまり	クリスマス
くすずとり	取り崩す
くすせるん	苦戦する
くすそふる	不足する
くすそほる	補足する
くすそよる	予測する
くすぞふる	付属する
くすたちつ	立ち尽くす
くすだちに	口に出す
くすだつり	作り出す
くすちにる	口にする
くすっねれ	ネックレス
くすっのる	ノックする
くすっらり	リラックス
くすつびむ	結び付く
くすつべる	区別する
くすにらる	楽にする［気を〜］
くすはばる	爆破する
くすばるろ	暴露する
くすぱるん	パンクする
くすひやる	飛躍する
くすびゆり	薬指
くすふまら	膨らます
くすめるん	工面する
くすゃりる	略する
くすやよる	予約する
くすょりる	苦慮する
くすりるん	リンクする
くすりんー	スクリーン
くずたたや	役立たず
くずめもれ	目もくれず［…には〜］
くせだりん	下り線
