４文字集合	可能な４文字単語
いてびろ	手広い
いてへん	底辺:閉店
いてめん	名店
いてらん	来店
いてりん	インテリ
いてんん	店員
いではり	出入（ではい）り
いでまま	今まで
いとどま	戸惑い
いとなみ	営み
いとなむ	営む
いとびり	飛び入り
いとふら	フライト
いとべん	イベント
いとほわ	ホワイト
いとぽん	ポイント
いとりれ	取り入れ
いどほよ	程よい
いどまる	マイルド
いどまん	ドンマイ
いどめよ	酔い止め
いどりろ	彩り
いどるろ	彩る
いどるわ	ワイルド
いななら	ならない
いなにろ	何色（なにいろ）
いなねん	年内［〜立春］
いなべん	南米
いなまー	マイナー
いなみら	見習い
いなめん	内面
いなろん	いろんな
いにのま	二の舞
いにまめ	二枚目
いにまも	今にも
いねぱん	年輩:年輩・年配:年配
いねまん	毎年（まいねん）
いねむり	居眠り
いねむる	居眠る
いねらん	来年
いねりん	念入り
いねれん	例年:年齢
いねんん	因縁（いんねん）
いのひり	日の入り
いのもり	物入り
いのもれ	入れ物:物入れ
いはばん	販売
いはふん	ハイフン
いはぶん	配分
いはべん	米飯
いはみら	未払い
いはめん	判明
いはょり	配慮
いはらる	来春（らいはる）
いはれん	凡例
いばまゆ	まばゆい
いばまん	毎晩
いばもる	モバイル
いばらる	ライバル
いぱまん	満杯
いぱれん	連敗
いひめん	品名
いひらん	来賓
いふほん	不本意
いふまる	振る舞い
いふめよ	不名誉
いふれん	インフレ
いぶみる	身震い
いぶめん	文明
いぶるん	分類
いぶれん	例文
いへぼん	平凡
いへめん	平面
いへれん	返礼
いほめん	本命
いほよろ	ほろ酔い
いほらん	本来
いまんん	満員
いめもん	名門
いめるん	麺類
いめれん	冷麺:連名
いももろ	桃色
いゆるわ	いわゆる
いよるわ	悪酔い
ううおそ	相応
ううおと	応答
ううおど	王道
ううおぼ	横暴
ううおよ	応用
ううおる	潤（うるお）う
ううかか	うかうか
ううかが	うかがう:伺う
ううがた	疑う
ううきき	うきうき
ううくこ	空港:航空
ううくそ	空想
ううぐす	偶数
ううぐそ	遭遇
ううぐゆ	優遇
ううここ	孝行:高校
ううこご	皇后
ううこそ	走行:高層
ううこぞ	構造
ううこつ	交通:通行
ううこと	口頭:投稿:登校:高騰
ううこど	公道:動向:同行（どうこう）:行動
ううこの	効能:濃厚:濃厚［敗色〜］
ううこふ	風向
ううこほ	工法:広報:後方:方向
ううこぼ	攻防:暴行
ううこゆ	交友:友好:有効
ううこよ	公用:効用:紅葉（こうよう）
ううこん	好運:幸運:幸運・好運:運航:運行
ううごそ	総合
ううごと	統合
ううごほ	合法
ううしな	失う
ううすそ	総数
ううすど	同数
ううずゆ	融通
ううそそ	そうそう:早早（そうそう）
ううそぞ	創造:想像
ううそと	相当:逃走
ううそど	騒動
ううそほ	包装:双方:放送
ううそぼ	暴走
ううそも	妄想
ううそゆ	郵送
ううそん	運送
ううぞと	贈答
ううちゅ	宇宙
ううつほ	通報
ううつゆ	憂鬱
ううつよ	腰痛:通用
ううとと	うとうと:とうとう
ううとど	同等
ううとふ	封筒
ううとぼ	冒頭:逃亡
ううとよ	東洋
ううどふ	同封
ううどほ	報道
ううどゆ	誘導
ううどよ	動揺:同様
ううどろ	労働
ううどん	運動
ううなら	占う
ううのの	のうのう
ううふぼ	暴風
ううふよ	洋風
ううほほ	方法
ううほろ	朗報
ううぼゆ	有望
ううぼよ	要望
ううまや	敬う
ううょり	雨量
ううよん	運用
ううるる	うるうる
ううろろ	うろうろ
うえおん	応援
うえきゆ	有益
うえぎみ	右上
うえこん	公園:公演:講演
うえごた	歌声
うえした	上下（うえした）
うえしと	年上
うえすと	ウエスト
うえその	その上
うえそん	演奏
うえたっ	訴え
うえちは	鉢植え
うえつゆ	優越
うえでま	腕前
うえどん	えんどう:沿道
うえのん	農園
うえぽん	遠方
うえまり	前売り
うおかん	王冠
うおきて	適応
うおぎな	補う
うおくこ	王国
うおくっ	おっくう
うおくふ	往復
うおこつ	甲乙
うおこな	行う
うおこん	温厚:高温:高音
うおじる	応じる
うおずる	応ずる
うおせつ	応接
うおそよ	装う
うおそん	騒音
うおだん	横断
うおちね	お値打ち［〜品］
うおつと	凹凸（おうとつ）
うおとと	弟
うおにも	思うに
うおはよ	おはよう［〜ございます］
うおぷん	温風
うおぼん	防音
うおらん	卵黄
うかから	からかう
うかきづ	気遣う
うかきゅ	休暇
うかきゆ	行（ゆ）き交う
うかきょ	強化
うかくご	合格
うかくと	格闘
うかくん	空間
うかこっ	格好
うかこん	交換:好感:観光
うかごす	動かす
うかごほ	放課後
うかごり	合理化
うかさら	逆らう
うかしょ	消化:過小
うかじよ	自家用
うかせる	浮かせる
うかそつ	総括
うかそん	乾燥:感想
うかぞん	かんぞう:肝臓
うかたた	たたかう（戦・闘）:戦う:闘う
うかたほ	片方
うかたら	裏方
うかたり	売り方
うかちど	地下道
うかちゅ	中華:家中
うかちょ	課長:超過
うかっり	うっかり
うかつど	活動
うかつよ	活用
うかつん	痛感
うかとび	飛び交う
うかとん	カウント:投函:関東
うかどに	どうにか
うかどん	同感:感動
うかにゅ	入荷:加入
うかのふ	不可能
うかひょ	評価
うかびよ	火曜日
うかぷん	完封
うかべる	浮かべる
うかぼん	防寒
うかもる	もうかる
うかゆん	勧誘:夕刊
うかるれ	浮かれる
うがきわ	上書き［ファイルの〜］
うがくこ	工学:高額
うがくそ	総額
うがくつ	通学
うがくほ	方角:邦楽
うがくよ	洋楽
うがした	従う
うがしよ	洋菓子
うがすな	促す
うがたゆ	夕方
うがちま	間違う
うがちわ	内側
うがみわ	海側
うがらわ	裏側
うがろん	老眼
うききで	利き腕
うきくせ	空席
うきくょ	苦境
うきぐろ	気苦労
うきけひ	引き受け
うきげこ	攻撃
うきげつ	激痛:激痛・劇痛
うきこし	公式
うきこせ	功績
うきこひ	飛行機
うきこゅ	呼吸
うきこょ	強固:故郷
うきこん	抗菌:近郊
うきごて	適合
うきごみ	身動き
うきしす	数式
うきしほ	方式
うきしゅ	休止:周期:急死:支給:至急
うきしょ	希少:教師:正気:気象:試供:起床
うきしよ	様式:洋式
うきじそ	掃除機
うきすろ	キロ数
うきせど	同席
うきせほ	宝石
うきそつ	うそつき:付き添う
うきそん	送金
うきぞん	ぞうきん
うきちむ	内向き
うきちゅ	中期:地球:窮地
うきちょ	記帳:貴重:長期
うきちる	打ち切る
うきつむ	うつむき
うきつん	通勤
うきてと	適当
うきてほ	法的
うきてよ	適用
うきとん	均等
うきどり	売り時
うきにゅ	記入
うきひょ	卑怯:表記
うきふゅ	普及:給付
うきふょ	不況:恐怖
うきぶよ	不器用
うきほゅ	補給
うきほょ	補強
うきぼり	浮き彫り
うきみょ	奇妙:興味
うきむゅ	無休
うきむわ	上向き（うわむき）
うきやゅ	野球
うきゅゆ	給油
うきゅよ	給与
うきゅり	きゅうり
うきゆょ	教諭
うきゆれ	売れ行き
うきゆん	金融
うきょよ	許容
うきよん	金曜
うきりれ	売り切れ
うきろん	勤労
うきんん	金運
うぎこん	銀行
うぎすり	薄切り
うぎにわ	にぎわう
うぎねら	ねぎらう
うぎらり	裏切り
うぎらる	裏切る
うくくは	空白
うくくふ	空腹
うくここ	広告
うくこさ	工作
うくこそ	拘束:高速:高速［〜を走る］
うくこぞ	後続
うくこち	構築
うくこど	国道:講読:購読
うくこふ	幸福
うくこほ	国宝:報告
うくこも	項目
うくこら	行楽
うくごふ	複合
うくごろ	御苦労
うくさそ	創作
うくしつ	空室
うくしょ	苦笑
うくじん	くじ運
うくすふ	複数
うくずな	うなずく
うくそぞ	相続
うくそと	即答
うくそど	独走
うくその	即納
うくそふ	服装:風速
うくそほ	法則:速報
うくそよ	浴槽
うくそろ	蝋燭（ろうそく）
うくぞほ	続報
うくぞも	木造
うくちょ	口調
うくつふ	腹痛（ふくつう）
うくつむ	うつむく
うくつや	通訳
うくつろ	うろつく
うくとほ	東北
うくとゆ	特有
うくとよ	徳用・得用
うくとろ	登録
うくふゆ	裕福
うくふよ	服用:洋服
うくぼよ	欲望
うくむわ	上向く
うくもよ	木曜
うくやよ	ようやく:薬用:要約
うくゆわ	誘惑
うくよん	運よく
うくらん	空欄
うぐけつ	受け継ぐ
うぐたる	うたぐる
うぐちら	裏口
うぐつな	償う
うぐゆれ	夕暮れ
うけけつ	受付
うけこっ	けっこう［〜おいしい］:欠航:決行:結構:結構［もう〜だ］:結構［文章の〜］:血行
うけこん	健康:貢献
うけごつ	結合
うけざら	受け皿
うけした	下請
うけしょ	化粧
うけすち	打ち消す
うけすん	件数
うけちわ	内訳
うけつと	凍結
うけつも	受け持つ
うけづら	裏付け
うけとり	受取
うけとる	受け取る
うけとん	検討:見当
うけどん	県道
うけぼん	冒険
うけぽん	憲法
うけもる	もうける:設ける
うけやゆ	夕焼け
うけよん	兼用:用件:要件
うげこん	公言:現行
うげそん	幻想:草原（そうげん）
うげつと	当月
うげつよ	月曜
うげほん	方言
うげゆん	有限
うこごん	混合
うこさん	参考:降参
うこした	こうした
うこしっ	失効
うこして	こうして
うこしべ	神戸市
うこしゃ	後者:校舎
うこしゅ	趣向
うこしょ	こしょう（胡椒）:故障:胡椒:胡椒（こしょう）:証拠:高所
うこしん	更新:親交:進行
うこじつ	口実
うこじん	人口:人工
うこする	こうする
うこせん	先攻:先行:線香
うこそっ	即効:速効:速攻
うこそつ	高卒
うこそな	損なう
うこそよ	ようこそ
うこちむ	打ち込む
うこちゃ	紅茶
うこちゅ	中古（ちゅうこ）
うこちん	工賃
うこっに	日光
うこっは	発効:発行:発行［手形〜］:発酵
うこっふ	復興
うこっれ	売れっ子
うこつて	鋼鉄
うこつね	光熱:高熱
うこつぶ	好物
うこつり	公立:効率
うこつん	痛恨
うこての	手の甲
うこてん	天候:好転:転向:転校
うこでん	香典
うこどん	混同
うこなる	こうなる
うこにん	公認:後任
うこのよ	このよう
うこはん	反抗:後半:犯行
うこばん	交番
うこふん	興奮
うこへん	変更:後編
うこぽん	梱包
うこみり	売り込み
うこむめ	埋め込む
うこむり	売り込む
うこもん	肛門
うこょり	旅行:考慮
うころん	口論
うごしん	信号
うごそち	御馳走
うごつふ	不都合
うごねん	年号
うさすん	算数
うさそよ	よさそう
うさぞむ	無造作:無造作・無雑作:無雑作
うさちょ	調査
うさっと	殺到
うさつん	通算
うさとん	倒産:父さん
うさどん	サウンド:賛同
うさまよ	さまよう
うざつよ	雑用
うざらわ	裏技
うざりん	うんざり
うししゅ	収支:終始
うししょ	師匠:支障
うしすな	品薄
うしそた	そうした
うしそて	そうして
うしそん	真相:送信
うしぞん	増進:心臓
うしたょ	多少
うしだり	売り出し
うしちゅ	中止:周知
うしちょ	市長:承知:視聴:試聴:調子
うしつと	糖質
うしつぼ	失望
うしつよ	洋室
うしつん	通信
うしてど	どうして
うしてま	…てしまう
うしでも	申し出
うしとゃ	当社
うしとょ	当初
うしとろ	素人（しろうと）
うしとん	浸透:浸透・滲透
うしどん	振動
うしなや	養う
うしなよ	要なし・用なし
うしにょ	小児
うしぬり	売り主
うしのゃ	納車
うしはら	支払う
うしひょ	拍子:指標:消費:表紙
うしびよ	美容師
うしふょ	封書:負傷
うしほゅ	手法:補修:補習
うしほょ	保証:保障:処方:補償
うしほん	放心:方針
うしぼめ	梅干し
うしぼん	辛抱
うしまろ	真後ろ
うしみょ	賞味
うしむゅ	無臭
うしむょ	無償
うしめゆ	夕飯（ゆうめし）
うしもょ	猛暑
うしゃよ	容赦:社用
うしゅよ	主要:予習:洋酒
うしゅり	修理
うしゆょ	所有:醤油
うしゆん	親友
うしょよ	洋書:要所:賞与
うしょり	勝利:資料
うしょわ	昭和
うしよん	信用
うしろん	心労
うじすつ	数日
うじすれ	売れ筋
うじつて	通じて
うじつと	当日
うじつよ	実用
うじつる	通じる
うじとる	投じる:投じる［一票を〜］
うじはら	恥じらう
うじふゆ	不自由
うじふる	封じる
うじほる	報じる
うじほん	法人
うじゆん	友人
うじよん	用心
うじらん	ラウンジ
うじろん	老人
うすせん	数千
うすそる	そうする
うすたは	多数派
うすだち	打ち出す
うすだみ	生み出す:生み出す・産み出す
うすだり	売り出す
うすだれ	売れ出す
うすちみ	未知数
うすっと	すうっと
うすっに	日数（にっすう）
うすっら	うっすら
うすてん	点数
うすどる	どうする
うすにん	数人
うすねん	年数:数年
うすはん	半数
うすぶら	ブラウス
うすほん	本数
うすぽん	寸法
うすまる	薄まる
うすまん	数万
うすめる	薄める
うすやり	安売り
うすゆる	有する
うすよる	要する
うするれ	薄れる
うずつる	通ずる
うずにん	人数（にんずう）
うずみみ	湖（みずうみ）
うずみよ	用済み
うずらわ	患う
うせそん	戦争
うせつぶ	うつぶせ
うせとん	先頭:当選:銭湯
うせのわ	上乗せ
うせふん	風船
うせぽん	先方
うせゆん	優先:有線
うせよん	専用
うぜそつ	壮絶
うぜそん	騒然
うぜとん	当然
うぜよん	全容
うそだつ	争奪
うそだん	相談
うそちの	そのうち
うそっは	発想:発送
うそてん	転送
うそでろ	出そろう
うそなる	そうなる
うそのみ	脳みそ
うそのよ	そのよう
うそのん	農村
うそはん	搬送
うそぶむ	総務部
うそへん	変装:返送
うそめん	そうめん
うそより	寄り添う
うそれん	連想
うそろん	論争
うたたね	うたた寝
うたつつ	通達
うたつと	到達
うたてめ	埋め立て
うたとん	担当
うたのも	頼もう
うたのん	堪能（たんのう）:濃淡
うためら	ためらう
うたもれ	埋もれた［〜才能］
うたょり	多量
うだちゆ	夕立
うだつて	手伝う
うだつも	脱毛
うだとん	暖冬
うちつん	沈痛
うちての	手の内
うちてょ	手帳
うちとゅ	中途:途中
うちによ	日曜:日用
うちはょ	波長
うちふょ	不調
うちみょ	調味
うちみら	裏道
うちむゅ	夢中:夢中［〜で］
うちもゅ	喪中
うちやゅ	昼夜
うちょり	治療:調理
うちょわ	調和
うちんん	運賃
うっとな	納豆
うっとに	日当
うっとね	熱湯
うっとふ	沸騰
うっとま	まっとう［〜な話］
うっとり	うっとり:立冬
うっとれ	列島
うつつれ	痛烈
うつてど	鉄道
うつとと	唐突
うつとは	頭髪
うつどは	発動
うつねほ	放熱
うつねん	通年
うつのみ	濃密
うつはも	毛髪
うつはゆ	誘発
うつひよ	必用:必要
うつほり	法律
うつゆれ	優劣
うてとん	店頭:当店:点灯:読点:転倒
うてどん	同点
うてのん	天皇
うてぼん	展望
うてもら	…てもらう
うてもん	盲点
うてょり	両手
うてよん	要点:転用
うてんん	運転
うでとん	伝統:電灯
うでにの	二の腕
うでゆよ	余裕で［〜合格する］
うととの	ととのう（整・調）:整う
うとどま	戸惑う
うとなも	伴う
うとなん	南東:東南
うとにん	当人
うとばん	当番
うとぶん	当分:等分:糖分
うとへん	返答
うとべん	弁当
うとほん	本当
うとまら	トラウマ
うとめん	当面
うとょり	塗料
うとろん	討論
うどなる	どうなる
うどねん	同年
うどのよ	どのよう
うどはん	反動
うどめん	面倒
うどやら	どうやら
うどやん	うどん屋
うどれん	連動
うなみら	見習う
うにゅゆ	輸入
うによん	容認
うにろん	浪人
うぬぼれ	うぬぼれ
うねぽん	年俸
うのはん	反応
うのばん	万能（ばんのう）
うのひん	納品
うのへん	返納
うのほん	本能
うのもり	売り物
うのりん	農林
うはぼん	繁忙:繁忙・煩忙:防犯
うはゆん	夕飯（ゆうはん）
うはらら	裏腹
うぱんん	運搬
うひふょ	不評
うひょり	肥料
うひよん	用品
うびゆん	郵便
うふまる	振る舞う
うふょり	不良
うほめん	方面
うほもん	訪問
うほゅり	保留
うぼめん	綿棒
うぼらん	乱暴
うぽみん	民放:民法
うまるれ	うまれる（生・産）:生まれる:産まれる
うむやや	うやむや
うむやら	うらやむ
うむょり	無料
うもるれ	埋もれる
うょりり	料理
えええむ	Ａ．Ｍ．
ええきま	駅前（えきまえ）
ええどま	江戸前
ええみみ	見え見え
えおおご	大声（おおごえ）
えおかき	お絵かき:置き換え
えおかし	お返し
えおかむ	お迎え
えおかり	お帰り
えおきす	据え置き
えおきま	前置き
えおくす	据え置く
えおさめ	抑えめ
えおさる	おさえる（押・抑）:抑える:抑える［反対を〜］:押さえる
えおしる	し終える:教える
えおそな	お供え
えおとろ	衰え
えおばも	思えば
えおぼみ	見覚え
えおぼる	覚える
えかかき	書き換え:書き換え・書き替え:書き替え
えかかる	抱える
えかがん	考え
えかきひ	引き替え
えかきふ	吹き替え
えかきり	切り替え
えかきる	着替える
えかくみ	組み替え
えかけご	掛け声
えかけつ	付け替え
えかさし	差し替え
えかさる	栄（さか）える
えかしし	仕返し
えかしす	仕返す
えかしみ	見返し
えかすみ	見返す
えかすり	すり替え
えかぞる	数える:数える［今年で１０回を〜］
えかたて	建て替え:立て替え
えかたま	前方
えかだん	円高
えかって	かえって
えかつめ	詰め替え
えかつる	つかえる:仕える
えかつん	円滑
えかでむ	出迎え
えかとり	取り替え
えかなる	かなえる
えかのり	乗り換え
えかはり	張り替え
えかひめ	控えめ
えかひる	控える
えかふり	振り替え:振替［郵便〜］
えかまる	構える
えかむる	迎える
えがちま	間違え
えがちる	違える
えがねり	寝返り
えがねる	寝返る
えがひり	日帰り
えがまみ	前髪:身構え
えきけつ	血液
えきげん	減益:現役
えきこる	聞こえる
えきごな	泣き声:鳴き声
えきさる	消え去る
えきそん	損益
えきぞま	巻き添え
えきたる	鍛える
えきつん	喫煙
えきひる	冷え切る
えきびる	駅ビル
えきふり	不利益
えきまむ	前向き
えきめん	免疫
えきんん	禁煙:遠近
えぎさる	遮る
えくしゃ	会釈
えくたわ	蓄え
えくふん	復縁
えくるわ	くわえる:加える
えけすつ	据え付け
えけつん	血縁
えこころ	心得
えこごる	凍える
えこそび	底冷え
えこたる	こたえる:こたえる［寒さが〜］:応える:答える
えこのま	この前
えこひみ	冷え込み
えこひむ	冷え込む
えこらる	こらえる
えごたて	手ごたえ
えごたは	歯ごたえ
えごたみ	見ごたえ
えごなは	鼻声
えささる	支える:支える［家計を〜］
えさずり	さえずり
えさねん	姉さん
えじつん	実演
えじまる	交える
えじるん	演じる
えじんん	エンジン
えすやん	円安
えせんん	沿線
えそなる	供える:備える
えそゆれ	それゆえ［〜に］
えそるろ	そろえる
えたたる	たたえる
えたつる	伝える
えたてま	建て前
えたとば	例えば
えたとる	たとえる
えちまも	持ち前
えぢるわ	悪知恵（わるぢえ）
えつぴん	鉛筆
えつらん	閲覧
えとなる	唱える
えとひま	人前（ひとまえ）
えとらる	捕らえる
えとりー	エリート
えなにる	絵になる
えのまめ	目の前
えばめる	芽生える
えひふん	皮膚炎
えひまる	昼前
えふるる	震える
えぶんん	塩分
えぷろん	エプロン
えほほみ	ほほ笑み
えほほむ	ほほ笑む
えままん	真ん前
えまみる	丸見え
えまんん	円満:蔓延（まんえん）
えもらる	もらえる
えょりん	遠慮
えらるれ	得られる
えらるわ	笑える［〜話］
おおかた	大方
おおかま	大まか
おおから	おおらか
おおがた	大型:大形・大型
おおがら	大柄
おおきさ	大きさ
おおきな	大きな
おおきゆ	大雪（おおゆき）
おおけや	公（おおやけ）
おおげさ	大げさ
おおごと	大事（おおごと）
おおさじ	大さじ
おおじす	大筋
おおじも	大文字（おおもじ）
おおそよ	おおよそ
おおぞら	大空
おおつぶ	大粒
おおづめ	大詰め
おおねむ	おおむね
おおのの	各・各各（おのおの）:各（おのおの）
おおのも	大物
おおはば	大幅
おおもり	大盛り
おかきつ	顔付き
おかけで	お出掛け
おかけむ	顔向け
おかけら	カラオケ
おかげも	面影
おかさし	おかしさ
おかざり	お飾り
おかしだ	顔出し
おかしな	おかしな
おかすど	脅（おど）かす
おかせみ	顔見せ
おかそろ	おろそか
おかたら	お宝
おかだち	顔立ち
おかだや	穏やか
おかつな	なおかつ
おかつれ	お疲れ
おかぶれ	顔ぶれ
おがきな	泣き顔
おがくん	音楽
おがこよ	横顔
おがさり	お下がり
おがしる	惜しがる
おがたち	がた落ち
おがてみ	お手紙
おがみり	折り紙
おきくゃ	お客
おきくゆ	奥行き
おきさに	お先に［〜失礼］
おきさる	置き去る
おきしど	潮時
おきしは	はし置き
おきしや	塩焼き
おきしる	押し切る
おきすだ	起き出す
おきちつ	落ち着き
おきてん	お天気:適温
おきとり	時折
おきどろ	驚き
おきなわ	沖縄
おきのも	物置:置物
おきはや	早起き
おきまり	お決まり
おきむも	趣（おもむき）
おぎにり	お握り
おくくそ	憶測:臆測:臆測・憶測
おくさま	奥様
おくさん	奥さん
おくしも	惜しくも
おくじな	同じく
おくじみ	おみくじ
おくすら	遅らす
おくそら	恐らく
おくちつ	落ち着く
おくての	奥の手
おくてれ	手遅れ
おくでれ	出遅れ
おくとの	遠のく
おくどろ	驚く
おくまや	山奥
おくみり	見送り
おくみる	見送る
おくるれ	遅れる
おくろん	録音
おぐちり	降り口
おけしつ	押し付け
おけしづ	塩漬け
おけにま	おまけに
おげんん	音源
おこさま	お子様
おこさん	お子さん
おこしっ	おしっこ
おこしむ	押し込む
おこすら	凍らす
おこたっ	凍った
おこたる	怠る
おこちむ	落ち込む
おことば	お言葉
おこぼれ	おこぼれ
おこむり	折り込む:織り込む
おごしま	ごま塩
おごしり	ごり押し
おさしみ	お刺身
おさじん	おじさん:伯父さん:伯父さん・叔父さん:叔父さん
おさっま	真っ青
おさっん	おっさん
おさどん	温度差
おさなら	なおさら
おさばら	おさらば
おさばん	おばさん:伯母さん:伯母さん・叔母さん:叔母さん
おさひま	お日様
おさまり	おさまり（収・納）:収まり:納まり
おさまる	おさまる（収・納）:おさまる（収・納）［社長に〜］:おさまる（治・収）［反乱が〜］:収まる:収まる［事態が〜］:収まる［反乱が〜］:治まる［反乱が〜］:治まる［痛みが〜］:納まる
おさみめ	見納め
おさめる	おさめる（収・納）:収める:治める:納める
おざつん	雑音
おししな	し直し
おしすだ	押し出す
おしすな	し直す
おしたひ	お浸し
おしだめ	駄目押し
おしつん	室温:音質
おしてな	手直し
おしでな	出直し
おしとと	おととし
おしとみ	見落とし:見通し
おしどよ	夜通し
おしなみ	見直し
おしなり	シナリオ
おしねん	念押し
おしみも	塩もみ
おしもよ	催し
おしゃれ	おしゃれ
おしるれ	しおれる
おしるわ	し終わる
おじすた	スタジオ
おじなみ	おなじみ
おじなん	おんなじ
おじれん	オレンジ
おすでな	出直す
おすとみ	見落とす:見通す
おすどり	素通り
おすなみ	見直す
おすぼよ	及ぼす
おすみや	お休み:お休み［〜なさい・〜なさいませ］
おすみろ	見下ろす
おすもよ	催す
おずとの	おのずと
おずとれ	訪れ
おずもわ	思わず
おせたも	お持たせ
おせりー	セオリー
おせるわ	負わせる
おせんん	温泉
おそつま	お粗末
おそるれ	恐れる
おそるわ	教わる
おぞんん	温存
おたるれ	倒れる
おだてる	おだてる
おだらん	オランダ
おだんん	温暖
おちちや	父親（ちちおや）
おちめゃ	おちゃめ
おちもゃ	おもちゃ
おっとり	おっとり
おつとめ	お勤め
おつはん	発音
おつまみ	おつまみ
おつまり	お祭り
おつみり	三つ折り
おつむれ	オムレツ
おでやん	おでん屋
おとのも	物音
おとまー	オートマ
おぬもわ	思わぬ
おねほり	骨折り
おのりり	乗り降り:降り乗り
おははや	母親
おびやゆ	親指
おぼるれ	おぼれる
おぼろん	おんぼろ
おまもり	お守り
おみるわ	見終わる
かかきた	書き方
かかくん	感覚:間隔
かかけべ	壁掛け
かかげる	掲げる
かかさず	欠かさず［毎日〜］
かかしり	貸し借り
かかすす	すかすか
かかすわ	乾かす
かかたな	片仮名
かかちち	ちかちか
かかちぢ	近近（ちかぢか）
かかちふ	付加価値
かかちん	価値観
かかつん	管轄
かかなな	なかなか
かかふふ	ふかふか
かかほほ	ほかほか
かかむむ	むかむか
かかやる	軽（かる）やか
かかやろ	軽（かろ）やか
かからら	からから
かかりわ	かかわり
かかるわ	かかわる
かがきた	肩書き
かがきや	輝き
かがきり	気掛かり
かがくや	輝く
かがけね	掛け金
かがたみ	髪型
かがたわ	片側
かがなわ	中側
かがまん	漫画家
かがるる	軽軽（かるがる）
かききた	聞き方
かききゆ	雪かき
かききん	危機感
かきくて	的確:適格
かきけす	かき消す
かきけっ	切っ掛け
かきけひ	駆け引き
かきげら	激辛
かきげん	感激
かきこみ	書き込み
かきこむ	かき込む:書き込む
かきざむ	風向き
かきざる	着飾る
かきしそ	組織化
かきしだ	書き出し
かきしぶ	株式
かきしり	貸し切り
かきしる	貸し切る
かきすた	書き足す
かきすだ	かき出す:書き出す
かきせる	効かせる:聞かせる
かきぜた	北風（きたかぜ）
かきぜひ	風邪引き
かきたむ	傾き
かきたゆ	行（ゆ）き方
かきちづ	近付き
かきちぬ	勝ち抜き
かきづみ	三日月
かきとめ	書留
かきとり	書き取り
かきとる	書き取る
かきのも	書き物
かきぺん	完璧
かきみみ	耳かき
かきみよ	読み書き
かきみれ	紙切れ
かきんん	換金
かぎさね	重ね着
かぎにや	にぎやか
かくくと	獲得
かくくや	確約
かくげさ	格下げ
かくげん	厳格:幻覚
かくこっ	各国:骨格
かくこん	韓国
かくさず	隠さず
かくさっ	錯覚
かくさつ	かさつく
かくさん	三角:拡散
かくしっ	失格
かくしゃ	各社
かくしゅ	各種
かくしょ	各所
かくしん	核心:確信
かくじつ	確実
かくじん	人格:各人
かくすや	格安
かくずち	口数（くちかず）
かくずみ	紙くず
かくせっ	せっかく
かくそふ	過不足
かくたづ	片付く
かくたな	かたくな
かくたむ	傾く
かくたる	確たる
かくたれ	隠れた
かくだん	格段
かくちづ	近付く
かくちぬ	勝ち抜く
かくちら	辛口
かくっは	発覚
かくっひ	引っかく
かくつべ	格別
かくつみ	かみ付く
かくつむ	むかつく
かくつや	活躍
かくつり	確率
かくてる	カクテル
かくとに	とにかく
かくとも	ともかく
かくとん	監督
かくなよ	仲よく
かくにん	確認
かくひん	品格
かくふよ	ふくよか
かくほん	本格
かくみろ	黒髪
かくょり	火力
かくりん	輪郭
かくるれ	隠れる
かくろん	貫禄
かぐたろ	カタログ
かぐちみ	勝ち組
かぐつわ	革靴
かけこっ	駆けっこ
かけこみ	駆け込み
かけこむ	駆け込む
かけざん	掛け算
かけしる	仕掛ける
かけすだ	駆け出す
かけすて	掛け捨て
かけせみ	見せ掛け
かけたづ	片付け
かけたて	立て掛け
かけちま	勝ち負け
かけちも	掛け持ち
かけっん	欠陥:血管
かけつふ	不可欠
かけつん	完結:簡潔
かけでる	出掛ける
かけのみ	髪の毛
かけびよ	呼び掛け
かけみよ	読みかけ
かけみる	見掛ける
かけやり	やりかけ
かけよる	駆け寄る
かげしな	悲しげ
かげてん	手加減
かげとひ	人影
かげひん	火加減
かげゆん	湯加滅
かげんん	玄関:還元
かここの	九日（ここのか）
かこしち	勝ち越し
かこすち	勝ち越す
かこたと	かたこと
かこたの	この方（かた）
かこたり	肩凝り
かこだわ	声高
かこどろ	どころか
かこにや	にこやか
かこのん	この間（かん）
かこぼま	かまぼこ
かこまや	細やか
かこみる	コミカル
かこられ	これから
かこれれ	かれこれ
かごしま	ごまかし
かごしん	看護士:看護師
かごすま	ごまかす
かごちろ	近ごろ
かごなや	和やか
かごなろ	中ごろ
かごふん	看護婦
かささま	逆さま
かささや	ささやか
かさしず	静かさ
かさしぞ	さぞかし
かさしな	悲しさ
かさしん	資産家
かさすず	すかさず
かさずる	授かる
かさたぶ	かさぶた
かさたゆ	豊かさ
かさちみ	坂道
かさつん	観察
かさてね	重ねて
かさなや	魚屋（さかなや）
かさなり	重なり
かさなる	重なる
かさねる	重ねる
かさばる	かさばる
かさふん	不参加
かさまみ	神様
かさやわ	さわやか
かさわん	わんさか
かさんん	換算
かざなに	煮魚（にざかな）
かししだ	貸し出し
かしすだ	貸し出す
かしずな	品数
かしたた	したたか
かしたに	確かに［〜その通りだ］
かしたは	高橋
かしっり	しっかり:しっかり［〜者］
かしっん	疾患
かしつん	質感
かしでん	電子化
かしなみ	悲しみ
かしなむ	悲しむ
かしなや	しなやか
かしなよ	仲よし
