成立した２文字集合	成立した２文字単語	待ち候補文字数	待ち候補文字	成立する３文字集合	成立する３文字単語
えん	円:宴:縁（えん）	12	あ き ぎ ご し じ ち ど び ほ む ゆ	あえん えきん えぎん えごん えしん えじん えちん えどん えびん えほん えむん えゆん	亜鉛 延期 演技:縁起 援護 支援 園児 遅延 エンド 鼻炎 絵本 無縁 ゆえん［所以］
おか	丘:顔:顔［嫌な〜をする］	12	か く げ し す ず つ と な ね り ん	おかか おかく おかげ おかし おかす おかず おかつ おかと おかな おかね おかり おかん	カカオ 家屋 お陰 お菓子 カオス おかず かつお 十日（とおか） おなか お金 かおり（香・薫）:香り 悪寒
おく	億:奥	11	お か き た ち と に ば ら り れ	おおく おかく おきく おくた おくち おくと おくに おくば おくら おくり おくれ	多く 家屋 記憶 お宅 奥地 遠く お国 奥歯 お蔵 送り 後れ:遅れ
おし	塩（しお）:押し	8	え か け と ど な ろ ん	えおし おかし おけし おしと おしど おしな おしろ おしん	教え お菓子 塩気 通し 脅し 直し 下ろし 恩師
おじ	伯父・叔父（おじ）:伯父（おじ）:叔父（おじ）	4	ぎ せ や ら	おぎじ おじせ おじや おじら	お辞儀 お世辞 おやじ ラジオ
おす	雄（おす）	3	か が る	おかす おがす おする	カオス 素顔 お留守
おち	落ち	6	く ど ば め ゃ ん	おくち おちど おちば おちめ おちゃ おちん	奥地 落ち度 落ち葉 落ち目 お茶 音痴:音痴［機械〜・方向〜］
おと	音（おと）	10	う か く こ さ し っ で な り	うおと おかと おくと おこと おさと おしと おっと おでと おとな おとり	嘔吐（おうと） 十日（とおか） 遠く 男（おとこ） 遠さ 通し 夫（おっと） 遠出 大人（おとな） おとり:トリオ:通り:通り［〜がよい・〜が悪い］
おに	鬼:鬼［仕事の〜］:鬼［鬼ごっこの〜］	3	い く も	いおに おくに おにも	におい お国 重荷
おば	伯母・叔母（おば）:伯母（おば）:叔母（おば）	3	き く ち	おきば おくば おちば	置き場 奥歯 落ち葉
おび	帯	1	で	おでび	ビデオ
おふ	オフ	2	だ ろ	おだふ おふろ	お札（おふだ） おふろ
おや	親	4	こ じ つ や	おこや おじや おつや おやや	親子 おやじ おやつ 八百屋
おゆ	お湯	1	つ	おつゆ	おつゆ
おり	折り	10	あ か く こ ご つ と ど め わ	あおり おかり おくり おこり おごり おつり おとり おどり おめり おりわ	あおり かおり（香・薫）:香り 送り 氷 おごり お釣り おとり:トリオ:通り:通り［〜がよい・〜が悪い］ 踊り 折り目 終わり
おれ	おれ	4	い く そ の	いおれ おくれ おそれ おのれ	お礼 後れ:遅れ 恐れ 己（おのれ）
おん	恩:音（おん）	15	い か き ぎ け し せ ち で ど な ね ほ ぼ わ	いおん おかん おきん おぎん おけん おしん おせん おちん おでん おどん おなん おねん おほん おぼん おわん	イオン 悪寒 気温 恩義 嫌悪 恩師 汚染 音痴:音痴［機械〜・方向〜］ おでん 温度:音頭 女（おんな） ネオン 保温 お盆 おわん
かが	画家	5	い く っ み ん	いかが かがく かがっ かがみ かがん	外貨:絵画 化学（かがく）:科学 学科 鏡（かがみ） 眼科
かき	かき:かき（柿）:下記:夏季:夏期:書き:柿（かき）:火気	9	い く げ っ て み ょ わ ん	いかき かきく かきげ かきっ かきて かきみ かきょ かきわ かきん	機会:機械 企画:規格 激化 活気 書き手 上期（かみき） 許可 乾き:渇き 寒気（かんき）:帰還:換気:期間:機関:歓喜:気管:課金:金貨
かぎ	かぎ（鍵）:鍵（かぎ）	4	い く せ り	いかぎ かぎく かぎせ かぎり	会議:議会 閣議 稼ぎ 限り
かく	核:格	24	い う お か が き ぎ く ご さ し じ そ ぞ ち ど は ひ ぶ ほ み も り ん	いかく うかく おかく かかく かがく かきく かぎく かくく かくご かくさ かくし かくじ かくそ かくぞ かくち かくど かくは かくひ かくぶ かくほ かくみ かくも かくり かくん	各位 架空 家屋 価格 化学（かがく）:科学 企画:規格 閣議 区画 覚悟 格差 四角:死角:視覚:資格 各自:自覚 加速 家族 各地:知覚:近く 角度 破格 比較 各部 確保 味覚 科目:課目 隔離 区間
かぐ	家具	1	な	かぐな	金具
かけ	か（賭）け:欠け:賭（か）け	7	い し っ で み ら ん	いかけ かけし かけっ かけで かけみ かけら かけん	家計:経過 仕掛け 結果 出掛（か）け［〜際］ 見掛け かけら けんか
かげ	外科:影:陰（かげ）	5	い お き ひ ん	いかげ おかげ かきげ かげひ かげん	外科医 お陰 激化 日陰 下限:加減:原価
かこ	過去	5	い う っ ど み	いかこ うかこ かこっ かこど かこみ	囲い 下降:加工:効果:硬貨:高価 国家:括弧 どこか 囲み
かご	かご	4	い く ほ ん	いかご かくご かごほ かごん	ごかい:介護:誤解 覚悟 過保護 互換:看護:過言（かごん）
かさ	かさ:傘:坂	13	い え く さ た っ な ね ば ふ や ゆ ん	いかさ えかさ かくさ かささ かさた かさっ かさな かさね かさば かさふ かさや かさゆ かさん	境（さかい）:火災 栄（さか）え 格差 逆さ 固さ:硬さ:高さ 作家 さかな（肴）［酒の〜］:さなか（最中）:最中（さなか）:魚（さかな） 重ね 酒場 深さ 酒屋 かゆさ 加算:参加:監査:酸化
かし	しか:歌詞:歯科:菓子:貸し	16	い え お く け す た つ と む や ゅ ょ ら れ ん	いかし えかし おかし かくし かけし かしす かした かしつ かしと かしむ かしや かしゅ かしょ かしら かしれ かしん	司会:歯科医:視界:開始 返し お菓子 四角:死角:視覚:資格 仕掛け 透かし 仕方 加湿:過失 都市化 昔 貸家 歌手 初夏（しょか）:箇所 からし:頭（かしら） 彼氏 干支:監視:進化:過信
かじ	家事:時価:直（じか）	9	あ い く っ つ の び ゅ ん	あかじ いかじ かくじ かじっ かじつ かじの かじび かじゅ かじん	赤字 次回:開示 各自:自覚 実家 果実:活字 カジノ 耳鼻科 果樹 幹事:感じ:時間:漢字
かず	数（かず）	3	お て ん	おかず かずて かずん	おかず 手数（てかず） 図鑑
かそ	過疎	3	う く ん	うかそ かくそ かそん	仮想:仮装 加速 簡素
かた	型（かた）:形（かた）:方（かた）:肩	12	い さ し ち な ね み め ゆ ら り ん	いかた かさた かした かたち かたな かたね かたみ かため かたゆ かたら かたり かたん	他界:対価 固さ:硬さ:高さ 仕方 形（かたち） かなた:田中 高値 味方:味方・身方:見方:高み 固め:高め 浴衣（ゆかた） 宝 語り 加担:単価
かち	価値:勝ち:地下	7	い く た ば め ら ん	いかち かくち かたち かちば かちめ かちら かちん	誓い 各地:知覚:近く 形（かたち） 近場 勝ち目 力（ちから） 完治
かつ	カツ:活	13	い う お し じ せ ね は ふ ぶ み も れ	いかつ うかつ おかつ かしつ かじつ かせつ かつね かつは かつふ かつぶ かつみ かつも かつれ	いつか:つかい（使・遣）:五日（いつか）:使い:追加 通貨:通過 かつお 加湿:過失 果実:活字 仮設:仮説 加熱 二十日（はつか） 二日（ふつか） 部活 つかみ 貨物 疲れ
かて	糧	8	あ い き ず っ ね わ ん	あかて いかて かきて かずて かって かてね かてわ かてん	手あか 仮定:低下:定価:家庭:課程:買い手:過程 書き手 手数（てかず） 勝手 かねて 若手 天下:添加:点火:転嫁
かど	角（かど）:過度	6	う く こ れ ん ー	うかど かくど かこど かどれ かどん かどー	可動:稼働:稼働・稼動:稼動 角度 どこか どれか 感度 カード
かな	中（なか）:仮名:仲	16	い お ぐ さ せ た だ に の ば び ふ ま み よ ん	いかな おかな かぐな かさな かせな かたな かだな かなに かなの かなば かなび かなふ かなま かなみ かなよ かなん	内科:田舎（いなか） おなか 金具 さかな（肴）［酒の〜］:さなか（最中）:最中（さなか）:魚（さかな） 背中 かなた:田中 カナダ 何（なに）か 七日（なのか） 半ば 中日（なかび） 不仲 仲間 中身:中身・中味 夜中（よなか） 何（なん）か
かに	かに	5	い っ な わ ん	いかに かっに かなに かにわ かにん	二階 日課 何（なに）か にわか 認可
かね	かね:金（かね）	7	い お さ た つ て ん	いかね おかね かさね かたね かつね かてね かねん	買値 お金 重ね 高値 加熱 かねて 可燃
かば	ばか	7	い さ ち な り ん ー	いかば かさば かちば かなば かばり かばん かばー	売価 酒場 近場 半ば ばかり［した〜］ かばん カバー
かひ	可否	7	い え く げ ふ り ん	いかひ えかひ かくひ かげひ かひふ かひり かひん	会費:回避 控え 比較 日陰 皮膚科 光（ひかり） 悲観
かび	かび	3	じ な ん	かじび かなび かびん	耳鼻科 中日（なかび） 完備
かふ	不可:付加:負荷	9	い う さ つ な ひ み め ん	いかふ うかふ かさふ かつふ かなふ かひふ かふみ かふめ かふん	不快 風化 深さ 二日（ふつか） 不仲 皮膚科 深み 深め 噴火:花粉
かぶ	かぶ:株:部下	7	か く っ つ れ ん ー	かかぶ かくぶ かっぶ かつぶ かぶれ かぶん かぶー	株価 各部 物価 部活 かぶれ 幹部:文化 カーブ
かべ	壁（かべ）	1	わ	かべわ	川辺
かほ	外（ほか）	3	く ご ん	かくほ かごほ かほん	確保 過保護 保管
かみ	上（かみ）:神（かみ）:紙（かみ）:髪	16	あ が き く け こ す た ぢ っ つ な ふ ゆ ら ん	あかみ かがみ かきみ かくみ かけみ かこみ かすみ かたみ かぢみ かっみ かつみ かなみ かふみ かみゆ かみら かみん	赤身 鏡（かがみ） 上期（かみき） 味覚 見掛け 囲み 住みか 味方:味方・身方:見方:高み 身近 三日（みっか） つかみ 中身:中身・中味 深み かゆみ 辛み みかん:仮眠:未完:民家
かめ	かめ	9	い た だ ち ふ も ら わ ん	いかめ かため かだめ かちめ かふめ かめも かめら かめわ かめん	仮名:名菓:銘菓 固め:高め めだか 勝ち目 深め かもめ カメラ わかめ 仮面
かも	かも:かも［〜になる］	3	く つ め	かくも かつも かめも	科目:課目 貨物 かもめ
かゆ	床（ゆか）	5	い さ た み り	いかゆ かさゆ かたゆ かみゆ かゆり	愉快 かゆさ 浴衣（ゆかた） かゆみ ゆかり
かよ	余暇	5	い う っ な ん	いかよ うかよ かっよ かなよ かよん	通い 八日（ようか）:火曜 四日（よっか） 夜中（よなか） 予感:関与:関与・干与
から	殻（から）:殻［〜を破る・〜に閉じこもる］:空（から）	11	け し た だ ち っ み め れ わ ー	かけら かしら かたら かだら かちら かっら かみら かめら かられ からわ からー	かけら からし:頭（かしら） 宝 体（からだ） 力（ちから） 落下 辛み カメラ 彼ら 河原 カラー
かり	仮:借り:狩り	15	あ い え お か ぎ く ざ た は ば ひ ゆ わ ん	あかり いかり えかり おかり かかり かぎり かくり かざり かたり かはり かばり かひり かゆり かりわ かりん	ありか:明かり いかり:怒（いか）り:理解 帰り:返り かおり（香・薫）:香り 係り:係（かかり） 限り 隔離 飾り 語り はかり（計・量・測）:測り:計り ばかり［した〜］ 光（ひかり） ゆかり かわり（代・替）:代わり:分かり:変わり:替わり 管理
かれ	彼（かれ）	11	い し だ っ つ ど は ぶ ら わ ー	いかれ かしれ かだれ かっれ かつれ かどれ かはれ かぶれ かられ かれわ かれー	加齢 彼氏 だれか 劣化 疲れ どれか 枯れ葉 かぶれ 彼ら 分かれ:別れ カレー
かわ	かわ（川・河）:川（かわ）:河（かわ）:皮（かわ）:革	11	い き せ て に べ め ら り れ ん	いかわ かきわ かせわ かてわ かにわ かべわ かめわ からわ かりわ かれわ かわん	会話:和解 乾き:渇き 為替 若手 にわか 川辺 わかめ 河原 かわり（代・替）:代わり:分かり:変わり:替わり 分かれ:別れ 緩和
かん	勘（かん）:完:寒:感:缶:観:館（かん）	37	あ お が き く け げ ご さ し じ ず せ そ た ち て で ど な に ね ば ぱ ひ び ふ ぶ ぷ へ ほ み め や よ り わ	あかん おかん かがん かきん かくん かけん かげん かごん かさん かしん かじん かずん かせん かそん かたん かちん かてん かでん かどん かなん かにん かねん かばん かぱん かひん かびん かふん かぶん かぷん かへん かほん かみん かめん かやん かよん かりん かわん	安価 悪寒 眼科 寒気（かんき）:帰還:換気:期間:機関:歓喜:気管:課金:金貨 区間 けんか 下限:加減:原価 互換:看護:過言（かごん） 加算:参加:監査:酸化 干支:監視:進化:過信 幹事:感じ:時間:漢字 図鑑 河川 簡素 加担:単価 完治 天下:添加:点火:転嫁 家電:電化 感度 何（なん）か 認可 可燃 かばん 寒波 悲観 完備 噴火:花粉 幹部:文化 還付 変化 保管 みかん:仮眠:未完:民家 仮面 やかん:夜間 予感:関与:関与・干与 管理 緩和
かー	カー	5	ど ば ぶ ら れ	かどー かばー かぶー からー かれー	カード カバー カーブ カラー カレー
がき	飢餓	8	え っ て ね は み れ ん	えがき がきっ がきて がきね がきは がきみ がきれ がきん	着替え 学期:楽器 手書き 気兼ね はがき 磨き 瓦礫（がれき） 祈願:謹賀
がく	学:額（がく）	9	い か ご さ た つ ひ ぶ ろ	いがく かがく がくご がくさ がくた がくつ がくひ がくぶ がくろ	医学 化学（かがく）:科学 語学 差額 多額 九月 学費 学部 録画
がけ	けが	1	れ	がけれ	汚（けが）れ
がす	ガス	3	お た ら	おがす がすた がすら	素顔 姿 ガラス
がそ	画素	1	い	いがそ	疎外
がむ	ガム	1	い	いがむ	無害
がめ	メガ	4	な ね み ん	がなめ がねめ がみめ がめん	眺め:長め 眼鏡（めがね） 女神（めがみ） 画面
がら	柄（がら）	7	え こ し す ず て ん	えがら がこら がしら がすら がずら がてら がらん	絵柄 小柄 白髪（しらが） ガラス 図柄 手柄 裸眼
がわ	側（がわ）	3	し み や	がしわ がみわ がやわ	和菓子 我が身 我が家（や）
がん	ガン:癌:眼（がん）	10	い か き ぐ ね ひ び ま め ら	いがん かがん がきん がぐん がねん がひん がびん がまん がめん がらん	因果 眼科 祈願:謹賀 玩具 年賀 悲願 美顔 我慢:漫画 画面 裸眼
きき	危機:器機:機器:機器・器機:聞き	208	あい あず あち あつ あや ある あん いか い いく いけ いさ いざ いし いせ いた いち いっ いつ いて いな いは いひ いび いへ いめ いら いれ いろ いん うえ うく うこ うご うす うそ うぞ うつ うと うど うの うほ うぼ うゅ うゆ うょ うよ えが えこ えす えだ えの えま えむ えり えん おく おて おね おば おん かく かげ かっ かて かみ かょ かわ かん がっ がて がね がは がみ がれ がん せ づ て み め ゆ ん ぎし くこ くさ くそ くた くっ くは くゃ くや くょ くろ ぐは ぐん けし けは けん けー げし げだ げど げひ げん こせ この こん さっ さて さで さめ ざし ざせ しし しず しそ しち しっ しつ して しや しゅ しょ しり しれ しわ しん じつ じひ じり すず すて すま ずむ せつ せゆ せり ぜつ ぜん そん ぞん たぬ たり たん ちむ ちも ちん って っに っね っは っひ っふ っぷ っま っめ つづ つね つひ つま つよ つり つれ てど てぬ てび てむ てめ てん でん ども にび にん ねび ねま ねん のも のり はん ばり ばん ひび ひょ ひら ひん ふむ ふん ぶん ぷー ぺん ほん ぼん まま まり まん みむ みり みわ むん めれ やる やん ょり よわ よん りれ りん	あいき あきず あきち あきつ あきや あきる あきん いかき いきき いきく いきけ いきさ いきざ いきし いきせ いきた いきち いきっ いきつ いきて いきな いきは いきひ いきび いきへ いきめ いきら いきれ いきろ いきん うえき うきく うきこ うきご うきす うきそ うきぞ うきつ うきと うきど うきの うきほ うきぼ うきゅ うきゆ うきょ うきよ えがき えきこ えきす えきだ えきの えきま えきむ えきり えきん おきく おきて おきね おきば おきん かきく かきげ かきっ かきて かきみ かきょ かきわ かきん がきっ がきて がきね がきは がきみ がきれ がきん ききせ ききづ ききて ききみ ききめ ききゆ ききん きぎし きくこ きくさ きくそ きくた きくっ きくは きくゃ きくや きくょ きくろ きぐは きぐん きけし きけは きけん きけー きげし きげだ きげど きげひ きげん きこせ きこの きこん きさっ きさて きさで きさめ きざし きざせ きしし きしず きしそ きしち きしっ きしつ きして きしや きしゅ きしょ きしり きしれ きしわ きしん きじつ きじひ きじり きすず きすて きすま きずむ きせつ きせゆ きせり きぜつ きぜん きそん きぞん きたぬ きたり きたん きちむ きちも きちん きって きっに きっね きっは きっひ きっふ きっぷ きっま きっめ きつづ きつね きつひ きつま きつよ きつり きつれ きてど きてぬ きてび きてむ きてめ きてん きでん きども きにび きにん きねび きねま きねん きのも きのり きはん きばり きばん きひび きひょ きひら きひん きふむ きふん きぶん きぷー きぺん きほん きぼん きまま きまり きまん きみむ きみり きみわ きむん きめれ きやる きやん きょり きよわ きよん きりれ きりん	気合い 小豆（あずき） 空き地:空き地・明き地 気圧 空き家 歩き 暗記 機会:機械 行（い）き来 区域 景気 記載 機材 意識 世紀:帰省:既製:正規:移籍:規制:遺跡 待機:期待:気体 地域 一気 追記 定期:規定 機内 廃棄 ひいき いびき 兵器:平気 明記:記名 嫌い:嫌い［〜がある］:来期 冷気 黄色（きいろ） 起因 植木（うえき） 空気 好機:後期:気候 動き:記号 奇数 早期 寄贈 通気 冬期:陶器 動機:同期:機動:起動 昨日（きのう）:機能:納期 ほうき:放棄 希望 九（きゅう）:急:旧（きゅう）:球（きゅう）:級 勇気 今日（きょう）:凶:強 容器:起用:陽気 着替え 聞こえ エキス 唾液 えのき 気前 無益 利益 延期 記憶 おきて 寝起き 置き場 気温 企画:規格 激化 活気 書き手 上期（かみき） 許可 乾き:渇き 寒気（かんき）:帰還:換気:期間:機関:歓喜:気管:課金:金貨 学期:楽器 手書き 気兼ね はがき 磨き 瓦礫（がれき） 祈願:謹賀 奇跡:奇跡・奇蹟 気付き 利き手:聞き手 見聞き 効き目:目利き 行（ゆ）き来 基金:近畿 儀式 帰国 草木（くさき） 規則 帰宅 キック 気迫 客:脚 規約 局:曲 記録 歯茎 キング 景色 吐き気 危険:棄権 ケーキ 刺激 打撃 激怒 悲劇 元気:期限:機嫌 戸籍 きのこ 今期:既婚:根気:金庫 さっき:喫茶 手先 出先 目先 座敷 座席 色紙（しきし） 図式 組織:色素 敷地:知識 湿気（しっき） 気質 指摘 屋敷 機種 初期:死去 仕切り 歴史 和式 新規:禁止:資金:近視 期日 ひじき 自力 すずき:鈴木 手すき［お〜の時に］ すき間 無傷 季節 石油 離席 気絶 前期 既存（きそん） 既存（きぞん） たぬき 他力 短期:短気 キムチ 気持ち チキン 切手 日記 熱気 発揮 筆記 復帰 切符 末期 めっき 続き きつね:寝付き 月日（つきひ） 期末 強気 規律:規律・紀律:起立 亀裂 適度 手抜き 手引き 無敵 決め手 天気:機転:起点:転機 電機:電気 もどき にきび 人気:任期 値引き 招き 年季:年期:記念 着物 乗り気 半期 馬力（ばりき） 基盤 響き 拒否 開（ひら）き 気品 不向き ふきん:付近:付近・附近:奮起 分岐:気分 キープ ペンキ 基本 募金 気まま 決まり 満期 見向き 切り身:見切り わき見:極み 勤務 切れ目 やる気 夜勤 距離 弱気:気弱 預金 履歴 臨機:金利
きく	菊	14	い う お か こ さ そ た っ は ゃ や ょ ろ	いきく うきく おきく かきく きくこ きくさ きくそ きくた きくっ きくは きくゃ きくや きくょ きくろ	区域 空気 記憶 企画:規格 帰国 草木（くさき） 規則 帰宅 キック 気迫 客:脚 規約 局:曲 記録
きぐ	危惧:器具	2	は ん	きぐは きぐん	歯茎 キング
きさ	先（さき）:左記	6	い く っ て で め	いきさ きくさ きさっ きさて きさで きさめ	記載 草木（くさき） さっき:喫茶 手先 出先 目先
きし	四季:岸:式	19	い ぎ け げ ざ し ず そ ち っ つ て や ゅ ょ り れ わ ん	いきし きぎし きけし きげし きざし きしし きしず きしそ きしち きしっ きしつ きして きしや きしゅ きしょ きしり きしれ きしわ きしん	意識 儀式 景色 刺激 座敷 色紙（しきし） 図式 組織:色素 敷地:知識 湿気（しっき） 気質 指摘 屋敷 機種 初期:死去 仕切り 歴史 和式 新規:禁止:資金:近視
きじ	時期:次期:生地:記事	3	つ ひ り	きじつ きじひ きじり	期日 ひじき 自力
きす	キス:好き:隙（すき）	5	う え ず て ま	うきす えきす きすず きすて きすま	奇数 エキス すずき:鈴木 手すき［お〜の時に］ すき間
きず	傷（きず）	4	あ し す む	あきず きしず きすず きずむ	小豆（あずき） 図式 すずき:鈴木 無傷
きせ	せき:席	7	い き こ ざ つ ゆ り	いきせ ききせ きこせ きざせ きせつ きせゆ きせり	世紀:帰省:既製:正規:移籍:規制:遺跡 奇跡:奇跡・奇蹟 戸籍 座席 季節 石油 離席
きそ	基礎	4	う く し ん	うきそ きくそ きしそ きそん	早期 規則 組織:色素 既存（きそん）
きた	北（きた）:滝	5	い く ぬ り ん	いきた きくた きたぬ きたり きたん	待機:期待:気体 帰宅 たぬき 他力 短期:短気
きち	吉:基地	6	あ い し む も ん	あきち いきち きしち きちむ きちも きちん	空き地:空き地・明き地 地域 敷地:知識 キムチ 気持ち チキン
きつ	付き:月（つき）	14	あ い う し じ せ ぜ づ ね ひ ま よ り れ	あきつ いきつ うきつ きしつ きじつ きせつ きぜつ きつづ きつね きつひ きつま きつよ きつり きつれ	気圧 追記 通気 気質 期日 季節 気絶 続き きつね:寝付き 月日（つきひ） 期末 強気 規律:規律・紀律:起立 亀裂
きて	敵（てき）:滴（てき）	15	い お か が き さ し す っ ど ぬ び む め ん	いきて おきて かきて がきて ききて きさて きして きすて きって きてど きてぬ きてび きてむ きてめ きてん	定期:規定 おきて 書き手 手書き 利き手:聞き手 手先 指摘 手すき［お〜の時に］ 切手 適度 手抜き 手引き 無敵 決め手 天気:機転:起点:転機
きで	出来（でき）	2	さ ん	きさで きでん	出先 電機:電気
きと	とき:時（とき）	1	う	うきと	冬期:陶器
きな	泣き	1	い	いきな	機内
きぬ	抜き:絹	2	た て	きたぬ きてぬ	たぬき 手抜き
きは	破棄	7	い が く ぐ け っ ん	いきは がきは きくは きぐは きけは きっは きはん	廃棄 はがき 気迫 歯茎 吐き気 発揮 半期
きひ	匹（ひき）:引き	9	い げ じ っ つ び ょ ら ん	いきひ きげひ きじひ きっひ きつひ きひび きひょ きひら きひん	ひいき 悲劇 ひじき 筆記 月日（つきひ） 響き 拒否 開（ひら）き 気品
きび	匹（びき）	5	い て に ね ひ	いきび きてび きにび きねび きひび	いびき 手引き にきび 値引き 響き
きふ	寄付:寄付・寄附	3	っ む ん	きっふ きふむ きふん	復帰 不向き ふきん:付近:付近・附近:奮起
きぶ	武器	1	ん	きぶん	分岐:気分
きぼ	規模	2	う ん	うきぼ きぼん	希望 募金
きま	巻き:巻（まき）:薪（まき）	8	え す っ つ ね ま り ん	えきま きすま きっま きつま きねま きまま きまり きまん	気前 すき間 末期 期末 招き 気まま 決まり 満期
きみ	君（きみ）:黄身	6	か が き む り わ	かきみ がきみ ききみ きみむ きみり きみわ	上期（かみき） 磨き 見聞き 見向き 切り身:見切り わき見:極み
きむ	むき［〜になる］:向き:無期	7	え ず ち て ふ み ん	えきむ きずむ きちむ きてむ きふむ きみむ きむん	無益 無傷 キムチ 無敵 不向き 見向き 勤務
きめ	決め	6	い き さ っ て れ	いきめ ききめ きさめ きっめ きてめ きめれ	明記:記名 効き目:目利き 目先 めっき 決め手 切れ目
きも	肝（きも）	3	ち ど の	きちも きども きのも	気持ち もどき 着物
きや	焼き	5	あ く し る ん	あきや きくや きしや きやる きやん	空き家 規約 屋敷 やる気 夜勤
きゆ	ゆき:行（ゆ）き:雪（ゆき）	3	う き せ	うきゆ ききゆ きせゆ	勇気 行（ゆ）き来 石油
きよ	予期	4	う つ わ ん	うきよ きつよ きよわ きよん	容器:起用:陽気 強気 弱気:気弱 預金
きり	切り:切り［〜がない］:切り［〜をつける］:力（りき）:霧	13	え し じ せ た つ の ば ま み ょ れ ん	えきり きしり きじり きせり きたり きつり きのり きばり きまり きみり きょり きりれ きりん	利益 仕切り 自力 離席 他力 規律:規律・紀律:起立 乗り気 馬力（ばりき） 決まり 切り身:見切り 距離 履歴 臨機:金利
きれ	切れ	6	い が し つ め り	いきれ がきれ きしれ きつれ きめれ きりれ	冷気 瓦礫（がれき） 歴史 亀裂 切れ目 履歴
きろ	キロ:帰路	2	い く	いきろ きくろ	黄色（きいろ） 記録
きわ	わき:ワキ:際（きわ）	4	か し み よ	かきわ きしわ きみわ きよわ	乾き:渇き 和式 わき見:極み 弱気:気弱
きん	禁:菌:金（きん）	34	あ い え お か が き ぐ け げ こ し ぜ そ ぞ た ち て で に ね は ば ひ ふ ぶ ぺ ほ ぼ ま む や よ り	あきん いきん えきん おきん かきん がきん ききん きぐん きけん きげん きこん きしん きぜん きそん きぞん きたん きちん きてん きでん きにん きねん きはん きばん きひん きふん きぶん きぺん きほん きぼん きまん きむん きやん きよん きりん	暗記 起因 延期 気温 寒気（かんき）:帰還:換気:期間:機関:歓喜:気管:課金:金貨 祈願:謹賀 基金:近畿 キング 危険:棄権 元気:期限:機嫌 今期:既婚:根気:金庫 新規:禁止:資金:近視 前期 既存（きそん） 既存（きぞん） 短期:短気 チキン 天気:機転:起点:転機 電機:電気 人気:任期 年季:年期:記念 半期 基盤 気品 ふきん:付近:付近・附近:奮起 分岐:気分 ペンキ 基本 募金 満期 勤務 夜勤 預金 臨機:金利
きー	キー	2	け ぷ	きけー きぷー	ケーキ キープ
ぎく	くぎ	5	か と ゃ り わ	かぎく ぎくと ぎくゃ ぎくり ぎくわ	閣議 特技 逆 区切り:区切り・句切り 疑惑
ぎさ	詐欺	3	う し わ	うぎさ ぎさし ぎさわ	うさぎ 詐欺師 騒ぎ
ぎじ	議事	2	お つ	おぎじ ぎじつ	お辞儀 実技
ぎす	杉	2	う で	うぎす ぎすで	薄着 出過ぎ
ぎつ	次（つぎ）	3	あ け じ	あぎつ ぎけつ ぎじつ	厚着 決議 実技
ぎふ	義父	5	し せ と ゆ る	ぎしふ ぎせふ ぎとふ ぎふゆ ぎふる	不思議 防ぎ ギフト 冬着 古着
ぎみ	右（みぎ）	2	ず て	ぎずみ ぎてみ	水着 右手
ぎむ	義務:麦	1	こ	ぎこむ	小麦
ぎも	模擬	1	ん	ぎもん	疑問
ぎり	義理	4	か く に わ	かぎり ぎくり ぎにり ぎりわ	限り 区切り:区切り・句切り 握り 輪切り
ぎん	銀（ぎん）	7	あ い え お し も ろ	あぎん いぎん えぎん おぎん ぎしん ぎもん ぎろん	議案 議員 演技:縁起 恩義 審議 疑問 議論
くこ	国（こく）	9	い き ご し じ た ち ど よ	いくこ きくこ くこご くこし くこじ くこた くこち くこど くこよ	異国 帰国 国語 四国:酷使 時刻 他国 告知:遅刻 孤独 予告
くさ	柵:策:草（くさ）	12	い か が き さ し じ ひ も や ら ろ	いくさ かくさ がくさ きくさ くささ くさし くさじ くさひ くさも くさや くさら くさろ	細工 格差 差額 草木（くさき） 臭さ 作詞:施策:試作 自作 低さ 模索 昨夜 暗さ:桜:落差 黒さ
くし	くし:くし（串）:串（くし）:駆使	12	い か こ さ た は ふ み ゅ ょ よ ら	いくし かくし くこし くさし くした くしは くしふ くしみ くしゅ くしょ くしよ くしら	飼育 四角:死角:視覚:資格 四国:酷使 作詞:施策:試作 仕度（したく）:支度・仕度（したく）:支度（したく） 白紙（はくし） 福祉:私服:至福 仕組み 祝（しゅく） 職:食 抑止 暮らし
くじ	くじ:軸	16	あ か こ ご さ そ ぞ た と ば ま も ゃ ゅ ら ろ	あくじ かくじ くこじ くごじ くさじ くじそ くじぞ くじた くじと くじば くじま くじも くじゃ くじゅ くじら くじろ	悪事 各自:自覚 時刻 地獄 自作 即時 持続 自宅 自得 自爆 字幕 目次 弱 塾 鯨 黒字
くず	くず:くず（屑）:屑（くず）	3	い も れ	いくず くずも くずれ	クイズ もずく 崩れ
くせ	癖（くせ）	2	っ ん	くせっ くせん	節句・節供 苦戦
くぞ	族（ぞく）	4	い か じ ふ	いくぞ かくぞ くじぞ くぞふ	遺族 家族 持続 付属:付属・附属
くち	口:地区	6	お か こ び ゃ ょ	おくち かくち くこち くちび くちゃ くちょ	奥地 各地:知覚:近く 告知:遅刻 備蓄 着 直（ちょく）
くつ	靴	6	い う え が べ り	いくつ うくつ えくつ がくつ くつべ くつり	いくつ 苦痛 机 九月 区別 つくり（作・造）:作り:理屈:造り
