５文字集合	可能な５文字単語
くななひゃ	七百（ななひゃく）
くねひゃん	百年
くひまゃん	百万
くょりわん	腕力
ぐさすらん	サングラス
ぐすぬりり	塗り薬
ぐすのみり	飲み薬
ぐとみりん	トリミング
ぐにらんん	ランニング
ぐみむらり	ミリグラム
けこどむも	子供向け
けざふるわ	悪ふざけ
けしとゅん	首都圏
けしとょん	図書券
けじひんん	人件費
けすだとひ	人助け
けすつびむ	結び付け
けずたはれ	けた外れ
けせなみん	世間並み
けそちっの	そっちのけ
けたつづて	立て続け
けだてへわ	分け隔て
けどひめや	日焼け止め
けなのまも	怠け者
げさちんん	原産地
げしちんん	震源地
げとれんん	レントゲン
げにみんん	人間味
げのみもや	土産物
ここざしろ	志
ここちもろ	心持ち
こごしたろ	下心
こごすちみ	住み心地
こごちのり	乗り心地
こごのもろ	物心（ものごころ）
こさとんー	コンサート
こしたのべ	食べ残し
こしとのろ	年のころ
こしみゃん	未婚者
こしゅんん	今春
こすっとま	マスコット
こすてとん	コンテスト
こすふるー	フルコース
こすべみり	滑り込み
こせとんん	コンセント
こちはびも	持ち運び
こちゃりん	ちゃりんこ
こっとひり	ひとりっ子
こてもりん	てんこ盛り
ことばほめ	褒め言葉
こどねんん	今年度
こどのひも	こどもの日
こどへらん	どこら辺
こどよりろ	よりどころ
こなびよら	横並び
こののもり	残り物
このもれわ	壊れ物
ごしたとは	畑仕事
ごしととひ	一仕事
ごたなまま	生卵
ごつねひろ	常日ごろ
ごととひり	ひとり言
ごのみより	より好み
ごはひるん	昼御飯
ささしむれ	虫刺され
ささしりわ	差し障り
さしせつん	親切さ
さしひぶり	久し振り
さだなまん	旦那様
さちににん	二三日
さちぽみん	散歩道
さはりるー	リハーサル
ししずちら	散らしずし
ししたべら	下調べ
ししつとょ	図書室
ししつゅん	進出
ししぶんん	新聞紙（しんぶんし）
ししゅんん	新春
しずとはり	取り外し
しせつふん	不親切
しせつゅん	選出
したたちわ	私たち
しただひり	左下
したちなば	立ち話
したどもわ	私ども
しだなみみ	身だしなみ
しだはひり	左端（ひだりはし）
しちべみる	道しるべ
しつてゅん	転出
しつひぶま	暇つぶし
してょんん	テンション
しとひみり	人見知り
しとまりり	取り締まり
しどねんん	新年度
しににほん	西日本
しにほゃん	日本車
しにほゅん	日本酒
しぷらりん	知らん振り
しまょんん	マンション
じとひめり	ひとり占め
じにほんん	日本人
すすたてー	ステータス
すすてれん	ステンレス
すずみやる	ずる休み
すせばろん	路線バス
すせぷりん	プリンセス
すだとめり	メダリスト
すちっとれ	ストレッチ
すっとまれ	マットレス
すつなみや	夏休み
すてみりー	ミステリー
すととりー	ストリート
すととれー	ストレート
すとひみや	一休み
すとられん	レストラン
すのもれわ	忘れ物:物忘れ
すはみやる	春休み
すはむろー	ロースハム
すひみやる	昼休み
すふみやゆ	冬休み
すぼみやん	盆休み
ずたまみり	水たまり
ずとはまれ	的外れ
せどらるん	ランドセル
せぱりんん	リンパ腺
そとまりわ	外回り
たちっわん	ワンタッチ
たつつふみ	二つ三つ
たつなりわ	綱渡り
たづふりれ	ふたり連れ
たとひびり	ひとり旅
たなぽりん	ナポリタン
たなみるー	ターミナル
たのべもや	食べ物屋
だちとひり	ひとり立ち
だちなはめ	目鼻立ち
ちとなまみ	港町
ちとなまり	隣町
ちとはやり	早とちり
ちにほゃん	日本茶
ちねゃるん	チャンネル
ちはぶめん	八分目
ちまみりわ	回り道
ちまもりわ	持ち回り
つつなまり	夏祭り
つでのはひ	初日の出
つとにめん	勤め人
つなひまり	ひな祭り
づなはまり	鼻詰まり
てとりりー	テリトリー
ととなひり	人となり
ととひまめ	一まとめ
ととまめり	取りまとめ
とねひむり	一眠り
とひぼめれ	一目ぼれ
とひまりわ	一回り
どねほんん	本年度
なのびみや	伸び悩み
にほむゆー	ユニホーム
ねふむるー	フルネーム
のぼまやり	山登り
のまみりわ	身の回り
ぱめろんん	メロンパン
ふほやるん	古本屋
ぶもらんん	モンブラン
ほむらんー	ホームラン
むるわんー	ワンルーム
